Sex,DVRT,Educational_level,Leaving_Certificate,Prestige_score,Type_school
female,75,Junior_cycle_incomplete-vocational_school,not_taken,33,vocational
male,78,Junior_cycle_terminal_leaver-vocational_school,not_taken,31,vocational
male,110,Senior_cycle_incomplete-vocational_school,not_taken,37,vocational
male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,?,vocational
female,94,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,vocational
female,84,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,113,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,vocational
male,126,Junior_cycle_terminal_leaver-vocational_school,not_taken,51,vocational
male,96,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
female,70,Junior_cycle_incomplete-vocational_school,not_taken,?,vocational
female,94,Primary_terminal_leaver,not_taken,58,primary_terminal_leaver
female,70,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
male,80,Primary_terminal_leaver,not_taken,58,primary_terminal_leaver
female,127,Senior_cycle_terminal_leaver-secondary_school,taken,58,secondary
male,96,Junior_cycle_incomplete-secondary_school,not_taken,18,secondary
female,118,3rd_level_complete,taken,65,secondary
female,86,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,secondary
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,38,secondary
female,84,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
male,70,Junior_cycle_terminal_leaver-secondary_school,not_taken,31,secondary
female,92,Junior_cycle_incomplete-secondary_school,not_taken,18,secondary
female,94,Senior_cycle_terminal_leaver-secondary_school,taken,35,secondary
female,85,Junior_cycle_terminal_leaver-secondary_school,not_taken,31,secondary
male,94,Senior_cycle_terminal_leaver-secondary_school,taken,?,secondary
male,96,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,secondary
male,108,Senior_cycle_terminal_leaver-secondary_school,taken,71,secondary
female,111,Senior_cycle_terminal_leaver-secondary_school,taken,57,secondary
female,101,Senior_cycle_terminal_leaver-secondary_school,taken,66,secondary
male,110,Senior_cycle_terminal_leaver-secondary_school,taken,69,secondary
male,121,Junior_cycle_terminal_leaver-secondary_school,not_taken,57,secondary
male,113,3rd_level_complete,taken,65,secondary
male,70,Junior_cycle_terminal_leaver-secondary_school,not_taken,58,secondary
male,131,Senior_cycle_terminal_leaver-secondary_school,taken,30,secondary
male,111,Senior_cycle_terminal_leaver-secondary_school,taken,69,secondary
female,86,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,124,Senior_cycle_terminal_leaver-secondary_school,taken,62,secondary
female,116,Senior_cycle_terminal_leaver-secondary_school,taken,?,secondary
male,90,Senior_cycle_terminal_leaver-secondary_school,taken,58,secondary
female,97,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
female,114,Senior_cycle_terminal_leaver-secondary_school,taken,48,secondary
female,101,Senior_cycle_terminal_leaver-secondary_school,taken,?,secondary
female,97,Senior_cycle_terminal_leaver-secondary_school,taken,58,secondary
male,114,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
female,123,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,secondary
female,96,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,secondary
male,106,Senior_cycle_terminal_leaver-secondary_school,taken,75,secondary
male,84,Junior_cycle_incomplete-vocational_school,not_taken,61,vocational
male,100,Senior_cycle_incomplete-vocational_school,not_taken,37,vocational
male,70,Junior_cycle_incomplete-vocational_school,not_taken,43,vocational
male,110,Senior_cycle_incomplete-vocational_school,not_taken,27,vocational
male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,35,vocational
male,78,Senior_cycle_terminal_leaver-secondary_school,taken,58,vocational
male,86,Junior_cycle_terminal_leaver-vocational_school,not_taken,31,vocational
female,91,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,vocational
male,93,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,82,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
female,90,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
male,130,Senior_cycle_incomplete-vocational_school,not_taken,?,vocational
female,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,57,vocational
male,81,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
male,90,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
male,98,Primary_terminal_leaver,not_taken,28,primary_terminal_leaver
male,109,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
female,100,Senior_cycle_terminal_leaver-secondary_school,taken,31,secondary
female,102,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
female,88,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,107,Junior_cycle_incomplete-secondary_school,not_taken,58,secondary
female,120,Senior_cycle_terminal_leaver-secondary_school,taken,61,secondary
female,100,3rd_level_complete,taken,47,secondary
male,108,Senior_cycle_terminal_leaver-secondary_school,taken,58,secondary
male,99,Junior_cycle_incomplete-secondary_school,not_taken,?,secondary
female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
male,90,Junior_cycle_incomplete-secondary_school,not_taken,46,secondary
male,109,Senior_cycle_terminal_leaver-secondary_school,taken,?,secondary
male,120,?,not_taken,75,secondary
male,101,Senior_cycle_terminal_leaver-secondary_school,taken,35,secondary
female,104,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
female,119,3rd_level_complete,taken,37,secondary
female,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,43,secondary
male,101,Senior_cycle_terminal_leaver-secondary_school,taken,61,secondary
female,119,Senior_cycle_terminal_leaver-secondary_school,taken,57,secondary
female,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,43,secondary
male,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,43,secondary
female,106,Senior_cycle_terminal_leaver-secondary_school,taken,51,secondary
male,119,3rd_level_complete,taken,71,secondary
female,84,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
male,90,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
female,73,Senior_cycle_terminal_leaver-secondary_school,taken,35,secondary
male,101,3rd_level_complete,taken,57,secondary
female,103,3rd_level_complete,taken,37,secondary
female,104,Senior_cycle_terminal_leaver-secondary_school,taken,?,secondary
female,114,3rd_level_complete,taken,43,secondary
male,112,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
male,127,3rd_level_complete,taken,37,secondary
female,83,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
male,76,Junior_cycle_incomplete-vocational_school,not_taken,?,vocational
male,90,Junior_cycle_incomplete-vocational_school,not_taken,28,vocational
male,101,Junior_cycle_incomplete-vocational_school,not_taken,28,vocational
female,98,Junior_cycle_incomplete-vocational_school,not_taken,37,vocational
male,98,Junior_cycle_terminal_leaver-vocational_school,not_taken,58,vocational
female,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,vocational
female,97,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,vocational
female,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,vocational
female,91,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
male,83,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,vocational
male,85,Junior_cycle_incomplete-vocational_school,not_taken,31,vocational
male,118,Senior_cycle_terminal_leaver-secondary_school,taken,18,vocational
female,92,Junior_cycle_incomplete-vocational_school,not_taken,28,vocational
male,86,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
female,72,Primary_terminal_leaver,not_taken,?,primary_terminal_leaver
male,82,Primary_terminal_leaver,not_taken,31,primary_terminal_leaver
male,86,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
female,85,Senior_cycle_terminal_leaver-secondary_school,taken,28,secondary
male,101,Junior_cycle_terminal_leaver-secondary_school,not_taken,35,secondary
female,117,3rd_level_complete,taken,37,secondary
female,85,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
male,91,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
female,111,Senior_cycle_terminal_leaver-secondary_school,taken,58,secondary
male,70,Junior_cycle_incomplete-secondary_school,not_taken,18,secondary
female,114,3rd_level_complete,taken,?,secondary
male,121,3rd_level_incomplete,taken,37,secondary
male,134,3rd_level_incomplete,taken,62,secondary
female,135,3rd_level_complete,taken,62,secondary
male,109,?,not_taken,43,secondary
female,104,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
female,107,3rd_level_complete,taken,37,secondary
female,117,3rd_level_complete,taken,57,secondary
female,123,Senior_cycle_incomplete-secondary_school,not_taken,35,secondary
female,82,Junior_cycle_terminal_leaver-secondary_school,not_taken,35,secondary
female,120,3rd_level_complete,taken,40,secondary
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
female,97,Junior_cycle_incomplete-secondary_school,not_taken,46,secondary
male,88,3rd_level_complete,taken,?,secondary
female,103,3rd_level_complete,taken,28,secondary
female,104,Senior_cycle_terminal_leaver-secondary_school,taken,38,secondary
female,91,3rd_level_complete,taken,58,secondary
male,127,3rd_level_complete,taken,40,secondary
female,109,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
male,95,Junior_cycle_incomplete-secondary_school,not_taken,43,secondary
female,107,Junior_cycle_incomplete-secondary_school,not_taken,57,secondary
male,126,3rd_level_complete,taken,27,secondary
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,35,secondary
male,127,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,64,secondary
female,102,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,71,Senior_cycle_incomplete-vocational_school,not_taken,40,vocational
male,103,Senior_cycle_terminal_leaver-secondary_school,taken,28,vocational
female,90,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,vocational
male,93,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
female,86,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
male,85,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,vocational
female,91,Junior_cycle_incomplete-vocational_school,not_taken,37,vocational
female,92,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,vocational
male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,58,vocational
male,88,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,vocational
male,100,Junior_cycle_incomplete-vocational_school,not_taken,43,vocational
male,118,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
female,70,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
female,70,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
male,70,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
female,89,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
female,114,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
female,120,3rd_level_complete,taken,37,secondary
male,97,3rd_level_complete,taken,40,secondary
female,85,Senior_cycle_terminal_leaver-secondary_school,taken,57,secondary
female,117,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
male,132,3rd_level_complete,taken,37,secondary
male,112,Junior_cycle_incomplete-secondary_school,not_taken,18,secondary
male,84,?,not_taken,33,secondary
male,114,Senior_cycle_terminal_leaver-secondary_school,taken,71,secondary
male,122,Senior_cycle_terminal_leaver-secondary_school,taken,62,secondary
female,127,Senior_cycle_terminal_leaver-secondary_school,taken,62,secondary
male,92,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
male,116,?,not_taken,18,secondary
male,113,3rd_level_complete,taken,37,secondary
female,82,Junior_cycle_terminal_leaver-secondary_school,not_taken,57,secondary
female,92,Senior_cycle_terminal_leaver-secondary_school,taken,75,secondary
male,123,Senior_cycle_terminal_leaver-secondary_school,taken,65,secondary
female,111,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
female,115,Senior_cycle_terminal_leaver-secondary_school,taken,35,secondary
female,100,Junior_cycle_terminal_leaver-secondary_school,not_taken,62,secondary
male,117,Senior_cycle_incomplete-secondary_school,not_taken,18,secondary
female,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,secondary
female,94,Junior_cycle_incomplete-secondary_school,not_taken,28,secondary
male,114,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,110,Senior_cycle_terminal_leaver-secondary_school,taken,53,secondary
female,101,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,75,secondary
male,95,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,129,3rd_level_complete,taken,43,secondary
female,85,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,122,3rd_level_complete,taken,35,secondary
female,100,Junior_cycle_incomplete-secondary_school,not_taken,18,secondary
male,105,Junior_cycle_incomplete-vocational_school,not_taken,31,vocational
female,105,Senior_cycle_terminal_leaver-secondary_school,taken,18,vocational
male,84,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,109,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,38,vocational
male,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,35,vocational
male,103,Junior_cycle_incomplete-vocational_school,not_taken,31,vocational
female,106,Junior_cycle_incomplete-vocational_school,not_taken,?,vocational
male,98,Junior_cycle_incomplete-vocational_school,not_taken,43,vocational
female,105,Junior_cycle_terminal_leaver-vocational_school,not_taken,46,vocational
male,90,Senior_cycle_incomplete-vocational_school,not_taken,43,vocational
male,97,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
male,83,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
female,86,Primary_terminal_leaver,not_taken,?,primary_terminal_leaver
female,70,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
female,85,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
female,70,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
female,95,3rd_level_complete,taken,37,secondary
male,104,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
female,109,Senior_cycle_incomplete-secondary_school,not_taken,40,secondary
female,101,Junior_cycle_terminal_leaver-secondary_school,not_taken,38,secondary
female,108,3rd_level_complete,taken,37,secondary
male,136,3rd_level_complete,taken,61,secondary
male,123,Senior_cycle_terminal_leaver-secondary_school,taken,46,secondary
female,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,38,secondary
female,104,Junior_cycle_incomplete-secondary_school,not_taken,37,secondary
male,135,3rd_level_complete,taken,61,secondary
female,104,Junior_cycle_incomplete-secondary_school,not_taken,18,secondary
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
male,120,3rd_level_complete,taken,43,secondary
female,109,Senior_cycle_terminal_leaver-secondary_school,taken,58,secondary
female,73,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
female,88,Junior_cycle_incomplete-secondary_school,not_taken,57,secondary
male,95,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
female,115,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,57,secondary
male,115,Senior_cycle_terminal_leaver-secondary_school,taken,27,secondary
female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
male,114,3rd_level_complete,taken,18,secondary
male,73,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,124,Senior_cycle_terminal_leaver-secondary_school,taken,36,secondary
female,85,Senior_cycle_incomplete-secondary_school,not_taken,35,secondary
female,111,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
female,78,Senior_cycle_terminal_leaver-secondary_school,taken,46,secondary
female,93,Junior_cycle_terminal_leaver-secondary_school,not_taken,43,secondary
female,111,Senior_cycle_terminal_leaver-secondary_school,taken,58,secondary
male,140,3rd_level_complete,taken,71,secondary
female,111,Junior_cycle_terminal_leaver-secondary_school,not_taken,51,secondary
female,87,Senior_cycle_terminal_leaver-secondary_school,taken,18,vocational
male,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,35,vocational
female,104,Senior_cycle_incomplete-vocational_school,not_taken,37,vocational
male,80,Junior_cycle_terminal_leaver-vocational_school,not_taken,65,vocational
female,89,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
male,91,Junior_cycle_incomplete-vocational_school,not_taken,28,vocational
male,74,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,vocational
male,89,Junior_cycle_incomplete-vocational_school,not_taken,43,vocational
female,127,Junior_cycle_incomplete-vocational_school,not_taken,35,vocational
male,99,Senior_cycle_terminal_leaver-secondary_school,taken,37,vocational
female,81,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
female,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,?,vocational
female,70,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
female,90,Senior_cycle_terminal_leaver-secondary_school,taken,42,vocational
male,81,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
female,100,Primary_terminal_leaver,not_taken,28,primary_terminal_leaver
female,77,Primary_terminal_leaver,not_taken,?,primary_terminal_leaver
female,94,Primary_terminal_leaver,not_taken,38,primary_terminal_leaver
female,110,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,secondary
female,70,Senior_cycle_incomplete-secondary_school,not_taken,37,secondary
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,69,secondary
female,115,Junior_cycle_incomplete-secondary_school,not_taken,36,secondary
female,109,3rd_level_complete,taken,40,secondary
female,107,Junior_cycle_incomplete-secondary_school,not_taken,18,secondary
female,102,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
male,113,3rd_level_complete,taken,61,secondary
male,117,Senior_cycle_terminal_leaver-secondary_school,taken,?,secondary
male,137,3rd_level_complete,taken,62,secondary
female,114,Senior_cycle_terminal_leaver-secondary_school,taken,75,secondary
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,28,secondary
male,104,Senior_cycle_terminal_leaver-secondary_school,taken,61,secondary
male,81,Senior_cycle_terminal_leaver-secondary_school,taken,58,secondary
male,104,3rd_level_complete,taken,75,secondary
male,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
female,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,30,secondary
female,101,3rd_level_complete,taken,43,secondary
female,116,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
male,109,3rd_level_complete,taken,57,secondary
female,110,Senior_cycle_terminal_leaver-secondary_school,taken,61,secondary
male,114,Senior_cycle_terminal_leaver-secondary_school,taken,?,secondary
male,87,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,57,secondary
male,103,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
male,123,Junior_cycle_incomplete-secondary_school,not_taken,43,secondary
male,115,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
male,105,Senior_cycle_incomplete-secondary_school,not_taken,57,secondary
male,106,3rd_level_complete,taken,42,secondary
male,106,Senior_cycle_terminal_leaver-secondary_school,taken,57,secondary
female,123,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,85,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
female,114,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,vocational
male,86,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
female,94,Junior_cycle_incomplete-vocational_school,not_taken,37,vocational
female,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,vocational
female,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,31,vocational
male,92,Senior_cycle_incomplete-vocational_school,not_taken,38,vocational
male,90,Junior_cycle_incomplete-vocational_school,not_taken,58,vocational
male,89,Senior_cycle_incomplete-vocational_school,not_taken,28,vocational
male,117,Senior_cycle_incomplete-vocational_school,not_taken,28,vocational
female,93,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
female,100,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
male,104,Senior_cycle_incomplete-vocational_school,not_taken,40,vocational
female,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,35,vocational
male,86,Junior_cycle_incomplete-vocational_school,not_taken,61,vocational
female,91,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
male,70,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
male,70,Primary_terminal_leaver,not_taken,37,primary_terminal_leaver
male,70,Primary_terminal_leaver,not_taken,37,primary_terminal_leaver
female,91,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
male,94,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
male,117,Senior_cycle_terminal_leaver-secondary_school,taken,42,secondary
male,103,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
female,104,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
male,124,Senior_cycle_terminal_leaver-secondary_school,taken,65,secondary
female,81,Senior_cycle_terminal_leaver-secondary_school,taken,37,secondary
female,116,Junior_cycle_terminal_leaver-secondary_school,not_taken,47,secondary
male,112,Senior_cycle_terminal_leaver-secondary_school,taken,75,secondary
female,78,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
female,109,3rd_level_incomplete,taken,43,secondary
female,117,3rd_level_complete,taken,51,secondary
male,104,3rd_level_incomplete,taken,69,secondary
female,99,3rd_level_complete,taken,37,secondary
female,81,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
female,102,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
female,108,Senior_cycle_terminal_leaver-secondary_school,taken,27,secondary
