V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054,1
M,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,1
M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,1
M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,1
M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,1
F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,1
M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,1
I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,1
M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,1
M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,1
M,0.155,0.115,0.025,0.024,0.009,0.005,0.0075,1
I,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,1
I,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,1
I,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,1
I,0.225,0.17,0.07,0.0565,0.024,0.013,0.016,1
I,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,1
F,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,1
I,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,1
F,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,1
I,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,1
I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,1
I,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,1
F,0.575,0.48,0.15,0.897,0.4235,0.1905,0.248,1
I,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,1
I,0.375,0.275,0.095,0.2295,0.095,0.0545,0.066,1
I,0.41,0.325,0.11,0.326,0.1325,0.075,0.101,1
I,0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,1
F,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,1
I,0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675,1
M,0.57,0.42,0.14,0.8745,0.416,0.165,0.25,1
I,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,1
I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,1
I,0.55,0.435,0.165,0.804,0.34,0.194,0.244,1
I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,1
I,0.375,0.26,0.08,0.2075,0.09,0.0415,0.07,1
I,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,1
I,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,1
I,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,1
F,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,1
I,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,1
I,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,1
I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,1
M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,1
I,0.35,0.28,0.075,0.196,0.082,0.04,0.064,1
M,0.59,0.47,0.135,1.1685,0.539,0.279,0.28,1
I,0.395,0.3,0.09,0.279,0.134,0.049,0.075,1
M,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,1
I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,1
I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,1
M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,1
I,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,1
I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,1
I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,1
I,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,1
I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,1
I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,1
I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,1
I,0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,1
F,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,1
I,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,1
M,0.52,0.425,0.125,0.79,0.372,0.205,0.19,1
F,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,1
I,0.315,0.235,0.08,0.18,0.08,0.045,0.047,1
I,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,1
F,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,1
I,0.415,0.31,0.095,0.34,0.181,0.057,0.083,1
I,0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,1
I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,1
I,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,1
M,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,1
I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,1
I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,1
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,2
F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,2
F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,2
I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,2
F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,2
F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,2
M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,2
M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,2
M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,2
I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,2
I,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,2
F,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,2
F,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,2
F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,2
I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,2
M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,2
M,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,2
F,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,2
I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,2
M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,2
M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,2
F,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,2
M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,2
F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,2
F,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,2
M,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,2
F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,2
M,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,2
M,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,2
F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,2
F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,2
I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,2
M,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,2
F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,2
I,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,2
F,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,2
I,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,2
M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,2
M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,2
M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,2
F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,2
F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,2
M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,2
F,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,2
M,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,2
M,0.525,0.4,0.155,0.707,0.282,0.1605,0.225,2
M,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,2
I,0.57,0.435,0.17,0.848,0.4,0.166,0.25,2
M,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,2
F,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,2
I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,2
I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,2
M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,2
M,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,2
I,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,2
I,0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,2
M,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,2
I,0.5,0.38,0.11,0.5605,0.28,0.106,0.15,2
I,0.53,0.395,0.13,0.575,0.247,0.115,0.183,2
I,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,2
F,0.575,0.465,0.175,1.099,0.4735,0.202,0.35,2
M,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,2
M,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,2
M,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,2
M,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535,2
M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,2
F,0.545,0.43,0.16,0.844,0.3945,0.1855,0.231,2
F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,2
F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,2
F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,2
F,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,2
M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,2
F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,2
I,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215,2
F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,2
M,0.35,0.26,0.09,0.198,0.0725,0.056,0.06,2
M,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,2
F,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,2
F,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,2
F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,2
F,0.57,0.43,0.16,0.811,0.3875,0.159,0.2285,2
M,0.62,0.48,0.15,1.1015,0.4965,0.243,0.305,2
M,0.65,0.51,0.155,1.407,0.7215,0.298,0.335,2
F,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,2
F,0.57,0.445,0.155,1.017,0.5265,0.2025,0.265,2
M,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,2
M,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,2
M,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,2
M,0.6,0.45,0.16,1.142,0.539,0.225,0.307,2
I,0.46,0.36,0.14,0.447,0.161,0.087,0.16,2
M,0.58,0.46,0.15,1.049,0.5205,0.1935,0.305,2
F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,2
M,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,2
M,0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,2
M,0.61,0.475,0.175,1.024,0.409,0.261,0.322,2
I,0.475,0.375,0.11,0.456,0.182,0.099,0.16,2
I,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,2
F,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,2
M,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,2
F,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105,2
M,0.535,0.44,0.165,0.875,0.279,0.18,0.3,2
M,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,2
F,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,2
F,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,2
M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,2
F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,2
F,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,2
F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,2
I,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,2
I,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,2
M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,2
M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,2
I,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,2
I,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595,2
F,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,2
M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,2
I,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,2
M,0.615,0.475,0.15,1.0375,0.476,0.2325,0.283,2
M,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,2
F,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,2
F,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,2
F,0.615,0.455,0.135,1.059,0.4735,0.263,0.274,2
F,0.57,0.44,0.19,1.018,0.447,0.207,0.265,2
F,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,2
F,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,2
M,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,2
F,0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,2
F,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,2
I,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,2
M,0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,2
I,0.54,0.415,0.135,0.709,0.3195,0.174,0.185,2
F,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,2
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,3
M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,3
F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,3
M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,3
M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,3
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,3
M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,3
M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,3
M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,3
F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,3
I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,3
F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,3
M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,3
F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,3
M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,3
M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,3
F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,3
F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,3
F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,3
I,0.39,0.31,0.1,0.302,0.116,0.064,0.115,3
F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,3
F,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,3
I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,3
F,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,3
M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,3
M,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,3
M,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,3
M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,3
I,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,3
I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,3
I,0.485,0.355,0.13,0.581,0.245,0.132,0.168,3
F,0.625,0.49,0.175,1.233,0.5565,0.247,0.365,3
I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,3
I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,3
F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,3
I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,3
F,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,3
F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,3
F,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,3
F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,3
F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,3
F,0.51,0.39,0.105,0.612,0.187,0.15,0.195,3
F,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,3
M,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,3
M,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,3
M,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,3
M,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,3
F,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,3
M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,3
M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,3
M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,3
F,0.595,0.465,0.155,1.026,0.4645,0.112,0.305,3
F,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,3
M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,3
M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,3
M,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,3
M,0.72,0.565,0.2,2.1055,1.017,0.363,0.494,3
F,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085,3
M,0.63,0.49,0.17,1.1745,0.5255,0.273,0.339,3
F,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,3
F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,3
F,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,3
M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,3
M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,3
F,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,3
M,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,3
F,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,3
M,0.675,0.515,0.15,1.312,0.556,0.2845,0.4115,3
F,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,3
F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,3
M,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,3
F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,3
M,0.575,0.45,0.185,0.925,0.342,0.197,0.35,3
M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,3
F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,3
F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,3
M,0.415,0.315,0.125,0.388,0.068,0.09,0.125,3
M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,3
M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,3
F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,3
F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,3
M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,3
M,0.64,0.52,0.2,1.407,0.566,0.304,0.455,3
F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,3
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,3
I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,3
I,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,3
I,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,3
I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,3
M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,3
M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,3
F,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,3
M,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,3
F,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,3
M,0.645,0.5,0.175,1.5105,0.6735,0.3755,0.3775,3
M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,3
I,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,3
M,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,3
M,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,3
F,0.615,0.475,0.175,1.194,0.559,0.259,0.3165,3
M,0.645,0.495,0.19,1.539,0.6115,0.408,0.445,3
M,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,3
M,0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685,3
F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,3
M,0.655,0.54,0.165,1.403,0.6955,0.2385,0.42,3
M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,3
M,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,3
F,0.64,0.54,0.175,1.571,0.627,0.271,0.475,3
M,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,3
F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,3
M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,3
M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,3
F,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,3
F,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,3
M,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,3
F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,3
M,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,3
F,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,3
F,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,3
I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,3
I,0.495,0.38,0.145,0.515,0.175,0.098,0.212,3
M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,3
M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,3
M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,3
M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,3
F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,3
F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,3
M,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,3
F,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,3
F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,3
F,0.65,0.5,0.17,1.4045,0.694,0.318,0.3235,3
F,0.65,0.495,0.175,1.227,0.528,0.258,0.37,3
M,0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285,3
F,0.675,0.535,0.22,1.604,0.6175,0.4255,0.453,3
M,0.545,0.44,0.165,0.744,0.2875,0.204,0.25,3
F,0.56,0.46,0.18,0.97,0.342,0.196,0.355,3
I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,3
F,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,3
M,0.555,0.42,0.145,0.8695,0.3075,0.2575,0.25,3
