A,B,C,D,E,F,G,H,Class
M,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,2
M,0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,2
I,0.505,0.385,0.125,0.596,0.245,0.097,0.21,2
I,0.55,0.465,0.15,0.936,0.481,0.174,0.2435,2
M,0.59,0.475,0.14,0.977,0.4625,0.2025,0.275,2
F,0.63,0.475,0.155,1.0005,0.452,0.252,0.265,2
M,0.725,0.57,0.19,2.3305,1.253,0.541,0.52,2
M,0.595,0.435,0.16,1.057,0.4255,0.224,0.31,2
F,0.72,0.55,0.18,1.52,0.637,0.325,0.435,2
I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,2
M,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,2
F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,2
F,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,2
M,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,2
I,0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,2
M,0.575,0.47,0.15,0.9785,0.4505,0.196,0.276,2
M,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,2
F,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,2
F,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,2
M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,2
F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,2
F,0.435,0.35,0.125,0.459,0.197,0.1145,0.145,2
F,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,2
M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,2
M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,2
M,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,2
M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,2
I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,2
F,0.575,0.475,0.16,0.895,0.3605,0.221,0.271,2
F,0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,2
M,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,2
M,0.69,0.53,0.19,1.5955,0.678,0.331,0.48,2
I,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,2
I,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,2
M,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,2
F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,2
M,0.605,0.455,0.16,1.1215,0.533,0.273,0.271,2
M,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,2
I,0.575,0.45,0.145,0.795,0.364,0.1505,0.26,2
M,0.625,0.5,0.185,1.2425,0.5995,0.248,0.335,2
M,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,2
F,0.57,0.465,0.155,0.9685,0.446,0.261,0.255,2
M,0.54,0.425,0.12,0.817,0.2945,0.153,0.195,2
I,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,2
M,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505,2
F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,2
M,0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,2
I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206,2
M,0.67,0.525,0.18,1.4915,0.728,0.343,0.381,2
M,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,2
F,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,2
M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,3
F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,3
F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,3
M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,3
M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,3
F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,3
F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,3
M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,3
M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,3
F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,3
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,3
F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,3
M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,3
F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,3
F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,3
F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,3
M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,3
M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,3
F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,3
M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,3
F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,3
F,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,3
I,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,3
F,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,3
M,0.655,0.53,0.195,1.388,0.567,0.2735,0.41,3
M,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,3
F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,3
F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,3
F,0.46,0.355,0.13,0.458,0.192,0.1055,0.13,3
I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,3
F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,3
I,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,3
F,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,3
F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,3
I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,3
I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,3
I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,3
F,0.52,0.395,0.18,0.64,0.158,0.11,0.245,3
F,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,3
M,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,3
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,3
M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,3
M,0.57,0.43,0.12,1.0615,0.348,0.167,0.31,3
F,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,3
F,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,3
F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,3
F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,3
M,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,3
M,0.645,0.52,0.175,1.636,0.779,0.342,0.432,3
F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,3
M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,3
I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,3
F,0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,3
F,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,3
F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,3
M,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,3
F,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,3
I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,3
M,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,3
M,0.65,0.505,0.19,1.274,0.59,0.23,0.391,3
M,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,3
F,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,3
M,0.75,0.595,0.205,2.2205,1.083,0.421,0.63,3
F,0.705,0.545,0.18,1.5395,0.6075,0.3675,0.4645,3
M,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,3
M,0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,3
M,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,3
M,0.665,0.525,0.18,1.429,0.6715,0.29,0.4,3
F,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,3
F,0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,3
M,0.595,0.455,0.155,1.041,0.416,0.2105,0.365,3
M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,3
F,0.71,0.565,0.195,1.817,0.785,0.492,0.49,3
M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,3
M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,3
F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,3
F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,3
M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,3
F,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,3
F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,3
F,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,3
F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,3
M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,3
M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,3
M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,3
F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,3
M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,3
I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,3
I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,3
M,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,3
F,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,3
M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,3
M,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,3
M,0.64,0.585,0.195,1.647,0.7225,0.331,0.471,3
F,0.635,0.495,0.18,1.596,0.617,0.317,0.37,3
M,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935,3
I,0.555,0.435,0.145,0.6975,0.262,0.1575,0.24,3
M,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,3
F,0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,3
M,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,3
F,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,3
F,0.68,0.505,0.17,1.3435,0.657,0.297,0.355,3
F,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,3
F,0.6,0.45,0.14,0.869,0.3425,0.195,0.291,3
M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,3
F,0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965,3
M,0.535,0.42,0.125,0.764,0.312,0.1505,0.265,3
M,0.64,0.49,0.14,1.194,0.4445,0.238,0.375,3
F,0.505,0.41,0.135,0.657,0.291,0.133,0.195,3
F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,3
F,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,3
M,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,3
M,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,3
M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,3
F,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,3
M,0.69,0.54,0.185,1.6195,0.533,0.353,0.555,3
F,0.51,0.395,0.12,0.6175,0.262,0.122,0.193,3
F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,3
M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,3
F,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,3
M,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,3
I,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,3
M,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,3
M,0.62,0.48,0.16,1.0765,0.412,0.253,0.3,3
F,0.61,0.48,0.16,1.234,0.598,0.238,0.315,3
F,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,3
M,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,3
M,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,3
M,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,3
M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,3
F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,3
M,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,3
F,0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,3
M,0.57,0.45,0.155,0.91,0.326,0.1895,0.355,3
M,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,3
M,0.62,0.5,0.2,1.221,0.4605,0.263,0.43,3
M,0.635,0.48,0.235,1.064,0.413,0.228,0.36,3
I,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,3
F,0.475,0.4,0.115,0.541,0.186,0.1025,0.21,3
F,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,3
M,0.72,0.6,0.235,2.2385,0.984,0.411,0.621,3
