V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.435,0.325,0.11,0.367,0.1595,0.08,0.105,1
I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,1
F,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,1
I,0.545,0.375,0.12,0.543,0.2375,0.1155,0.1725,1
F,0.58,0.435,0.15,0.834,0.428,0.1515,0.23,1
I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,1
I,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,1
I,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,1
I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,1
I,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,1
I,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,1
M,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,1
I,0.29,0.21,0.065,0.097,0.0375,0.022,0.03,1
I,0.395,0.29,0.095,0.3,0.158,0.068,0.078,1
I,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,1
I,0.42,0.315,0.115,0.355,0.1895,0.065,0.087,1
I,0.49,0.37,0.11,0.538,0.271,0.1035,0.139,1
M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,1
I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,1
F,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,1
I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,1
I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,1
F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,1
I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,1
I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,1
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,1
F,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,1
I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,1
M,0.5,0.4,0.13,0.7715,0.37,0.16,0.211,1
I,0.31,0.225,0.075,0.155,0.065,0.037,0.0365,1
I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,1
I,0.475,0.355,0.105,0.468,0.201,0.1115,0.12,1
F,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,1
M,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,1
I,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095,1
I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,1
M,0.545,0.42,0.12,0.7865,0.403,0.185,0.17,1
F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,1
I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058,1
I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,1
I,0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,1
I,0.525,0.385,0.13,0.607,0.2355,0.125,0.195,1
I,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,1
I,0.5,0.375,0.12,0.529,0.2235,0.123,0.16,1
I,0.32,0.205,0.08,0.181,0.088,0.034,0.0495,1
I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,1
M,0.52,0.465,0.15,0.9505,0.456,0.199,0.255,1
M,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,1
I,0.535,0.4,0.135,0.775,0.368,0.208,0.2055,1
I,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135,1
I,0.525,0.4,0.11,0.6275,0.3015,0.126,0.18,1
M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,1
I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,1
I,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,1
F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,1
M,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,1
I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,1
F,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,1
I,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,1
I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,1
I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,1
F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,1
I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,1
F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,1
I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,1
I,0.4,0.315,0.09,0.33,0.151,0.068,0.08,1
I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,1
F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,1
F,0.655,0.455,0.17,1.275,0.583,0.303,0.333,1
I,0.44,0.34,0.105,0.344,0.123,0.081,0.125,1
I,0.575,0.44,0.15,0.983,0.486,0.215,0.239,1
I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,1
I,0.485,0.37,0.14,0.5065,0.2425,0.088,0.1465,1
F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,1
M,0.335,0.26,0.075,0.22,0.0855,0.04,0.085,1
F,0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135,1
F,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,1
I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,1
I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,1
I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,1
F,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,1
I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,1
I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,1
I,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,1
I,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,1
M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,1
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,2
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,2
M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,2
F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,2
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,2
F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,2
F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,2
I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,2
M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,2
M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,2
F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,2
F,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,2
I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,2
I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,2
M,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,2
F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,2
M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,2
M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,2
M,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,2
F,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,2
F,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,2
M,0.66,0.52,0.19,1.558,0.755,0.298,0.4,2
M,0.57,0.45,0.155,1.1935,0.513,0.21,0.343,2
M,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,2
F,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,2
F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,2
M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,2
I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,2
F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,2
M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,2
F,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,2
I,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,2
I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,2
F,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,2
M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,2
M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,2
I,0.585,0.475,0.16,1.0505,0.48,0.234,0.285,2
F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,2
M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,2
I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,2
F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,2
M,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,2
F,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,2
M,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,2
M,0.66,0.505,0.165,1.374,0.589,0.351,0.345,2
I,0.515,0.36,0.125,0.4725,0.1815,0.125,0.138,2
M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,2
F,0.565,0.44,0.15,0.863,0.435,0.149,0.27,2
M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,2
M,0.595,0.45,0.14,0.838,0.3965,0.194,0.217,2
M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,2
F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,2
M,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,2
M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,2
F,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,2
F,0.55,0.38,0.165,1.205,0.543,0.294,0.3345,2
F,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,2
F,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,2
I,0.52,0.385,0.115,0.581,0.2555,0.156,0.143,2
I,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25,2
M,0.575,0.45,0.13,0.785,0.318,0.193,0.2265,2
M,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,2
M,0.615,0.495,0.2,1.219,0.564,0.227,0.3885,2
M,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,2
I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,2
F,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,2
I,0.465,0.355,0.09,0.4325,0.2005,0.074,0.1275,2
M,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,2
M,0.585,0.48,0.185,1.04,0.434,0.265,0.285,2
F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,2
M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,2
F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,2
F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,2
F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,2
I,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,2
M,0.475,0.355,0.125,0.4625,0.186,0.107,0.145,2
I,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,2
F,0.625,0.49,0.155,1.33,0.6675,0.259,0.33,2
F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,2
M,0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165,2
F,0.545,0.4,0.14,0.778,0.368,0.215,0.18,2
F,0.615,0.475,0.17,1.055,0.543,0.246,0.2345,2
F,0.645,0.52,0.18,1.285,0.5775,0.352,0.317,2
I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,2
I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,2
I,0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,2
M,0.625,0.5,0.14,1.096,0.5445,0.2165,0.295,2
F,0.705,0.54,0.205,1.757,0.8265,0.417,0.461,2
F,0.59,0.455,0.15,0.976,0.465,0.2055,0.2765,2
M,0.63,0.485,0.16,1.243,0.623,0.275,0.3,2
I,0.545,0.43,0.15,0.742,0.3525,0.158,0.208,2
I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,2
M,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,2
M,0.635,0.485,0.18,1.1795,0.4785,0.2775,0.355,2
M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,2
M,0.645,0.505,0.185,1.463,0.592,0.3905,0.416,2
M,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,2
M,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,2
M,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,2
F,0.575,0.45,0.135,0.8285,0.362,0.1655,0.236,2
F,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,2
M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,2
F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,2
M,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,2
F,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,2
F,0.595,0.475,0.165,1.148,0.444,0.214,0.37,2
F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,2
M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,2
I,0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08,2
I,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,2
F,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,2
M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,2
F,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,2
F,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,2
I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,2
F,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,2
F,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,2
F,0.55,0.415,0.18,1.1655,0.502,0.301,0.311,2
I,0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,2
F,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,2
M,0.615,0.455,0.13,0.9685,0.49,0.182,0.2655,2
M,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,2
M,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,2
M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,2
F,0.52,0.41,0.16,0.712,0.2845,0.153,0.225,2
M,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,2
M,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,2
M,0.59,0.45,0.16,0.998,0.445,0.214,0.301,2
F,0.64,0.49,0.18,1.36,0.653,0.347,0.305,2
M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,2
M,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,2
F,0.615,0.495,0.155,1.0805,0.52,0.19,0.32,2
M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,2
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,3
F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,3
F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,3
M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,3
F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,3
F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,3
F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,3
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,3
F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,3
M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,3
M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,3
M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,3
M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,3
M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,3
M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,3
M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,3
M,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,3
F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,3
M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,3
M,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,3
F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,3
M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,3
F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,3
F,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,3
F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,3
M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,3
F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,3
F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,3
F,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,3
I,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,3
F,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,3
F,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,3
F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,3
M,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,3
I,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,3
I,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295,3
M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,3
M,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,3
M,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,3
M,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,3
F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,3
F,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,3
F,0.55,0.43,0.155,0.785,0.289,0.227,0.233,3
M,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,3
F,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,3
F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,3
F,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,3
M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,3
M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,3
F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,3
I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,3
F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,3
M,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,3
M,0.705,0.555,0.215,2.141,1.0465,0.383,0.528,3
F,0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,3
M,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,3
I,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,3
F,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,3
M,0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845,3
F,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,3
F,0.69,0.55,0.2,1.569,0.687,0.3675,0.46,3
F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,3
F,0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375,3
M,0.57,0.455,0.155,0.832,0.3585,0.174,0.277,3
M,0.62,0.49,0.16,1.035,0.44,0.2525,0.285,3
F,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,3
M,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,3
M,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,3
F,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,3
M,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,3
F,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,3
M,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,3
M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,3
F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,3
F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,3
F,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,3
F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,3
F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,3
M,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,3
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,3
M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,3
M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,3
M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,3
F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,3
I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,3
F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,3
I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,3
F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,3
I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,3
F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,3
M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,3
F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,3
M,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,3
F,0.595,0.465,0.15,1.0255,0.412,0.2745,0.289,3
M,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,3
M,0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,3
M,0.64,0.505,0.155,1.1955,0.5565,0.211,0.346,3
M,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,3
I,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,3
M,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,3
F,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,3
F,0.635,0.525,0.18,1.3695,0.634,0.318,0.363,3
M,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,3
F,0.635,0.505,0.165,1.251,0.577,0.227,0.3825,3
F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,3
M,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,3
F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,3
I,0.51,0.405,0.12,0.61,0.229,0.131,0.235,3
M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,3
F,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,3
F,0.45,0.35,0.135,0.56,0.231,0.137,0.145,3
F,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,3
M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,3
M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,3
M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,3
F,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,3
M,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,3
M,0.4,0.31,0.11,0.314,0.138,0.057,0.1,3
I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,3
I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,3
F,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,3
I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,3
M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,3
M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,3
M,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,3
M,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,3
M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,3
M,0.605,0.49,0.165,1.1245,0.492,0.222,0.3555,3
M,0.65,0.495,0.17,1.276,0.6215,0.2305,0.399,3
M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,3
F,0.62,0.5,0.175,1.107,0.4895,0.24,0.343,3
F,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,3
M,0.5,0.42,0.125,0.62,0.255,0.15,0.205,3
F,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,3
F,0.67,0.545,0.16,1.5415,0.5985,0.2565,0.495,3
M,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,3
I,0.615,0.46,0.19,1.066,0.4335,0.226,0.33,3
F,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,3
M,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,3
F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,3
I,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,3
