V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,1
M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,1
M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,1
M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,1
I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,1
I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,1
I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,1
M,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,1
F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,1
I,0.375,0.3,0.075,0.144,0.059,0.03,0.044,1
M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,1
I,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,1
I,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,1
I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,1
F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,1
M,0.61,0.48,0.15,1.1495,0.564,0.274,0.264,1
I,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,1
I,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,1
M,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,1
F,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,1
I,0.345,0.255,0.095,0.183,0.075,0.0385,0.06,1
I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,1
M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,1
I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,1
I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,1
I,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,1
I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,1
I,0.435,0.335,0.095,0.298,0.109,0.058,0.115,1
I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,1
M,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,1
F,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,1
I,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,1
I,0.515,0.385,0.125,0.572,0.237,0.1435,0.165,1
I,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,1
I,0.41,0.325,0.105,0.361,0.1605,0.0665,0.103,1
I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,1
F,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,1
I,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,1
I,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,1
I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,1
I,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,1
I,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,1
M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,1
F,0.555,0.42,0.11,0.931,0.4445,0.171,0.225,1
I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,1
I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,1
I,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,1
I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,1
I,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,1
M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,1
M,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,1
I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,1
I,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,1
M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,1
I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,1
I,0.425,0.31,0.095,0.3505,0.1645,0.071,0.1,1
M,0.62,0.46,0.17,1.127,0.535,0.2635,0.296,1
I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,1
M,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,1
I,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,1
I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,1
I,0.185,0.135,0.045,0.032,0.011,0.0065,0.01,1
M,0.61,0.49,0.16,1.146,0.597,0.246,0.265,1
I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,1
I,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,1
M,0.55,0.385,0.13,0.7275,0.343,0.1625,0.19,1
I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,1
I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,1
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,2
F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,2
F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,2
F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,2
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,2
F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,2
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,2
F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,2
F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,2
M,0.535,0.42,0.145,0.791,0.33,0.189,0.25,2
F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,2
I,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,2
M,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,2
I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,2
M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,2
M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,2
M,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,2
M,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,2
M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,2
M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,2
F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,2
M,0.655,0.52,0.165,1.4095,0.586,0.291,0.405,2
M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,2
M,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,2
F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,2
M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,2
M,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,2
M,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,2
M,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,2
F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,2
M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,2
M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,2
I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,2
I,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,2
I,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,2
F,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,2
M,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,2
I,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,2
M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,2
F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,2
F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,2
F,0.745,0.57,0.215,2.25,1.1565,0.446,0.558,2
M,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,2
M,0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,2
F,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,2
I,0.5,0.375,0.14,0.559,0.2375,0.135,0.169,2
I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,2
I,0.565,0.42,0.155,0.743,0.31,0.186,0.231,2
I,0.575,0.45,0.125,0.78,0.3275,0.188,0.235,2
I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,2
F,0.605,0.47,0.155,0.974,0.393,0.224,0.3345,2
I,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,2
F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,2
F,0.65,0.495,0.155,1.337,0.615,0.3195,0.335,2
M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,2
F,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,2
M,0.605,0.475,0.15,1.15,0.575,0.232,0.297,2
F,0.685,0.535,0.175,1.5845,0.7175,0.3775,0.4215,2
I,0.52,0.395,0.125,0.5805,0.2445,0.146,0.165,2
I,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,2
F,0.57,0.44,0.12,0.803,0.382,0.1525,0.234,2
F,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,2
M,0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,2
I,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,2
F,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,2
F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,2
I,0.44,0.305,0.115,0.379,0.162,0.091,0.11,2
F,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,2
M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,2
F,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,2
M,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,2
M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,2
F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,2
I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,2
F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,2
M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,2
F,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,2
M,0.605,0.475,0.175,1.201,0.5395,0.275,0.309,2
F,0.595,0.47,0.155,1.1775,0.542,0.269,0.31,2
F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,2
F,0.545,0.43,0.14,0.832,0.4355,0.17,0.201,2
F,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,2
M,0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,2
M,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,2
I,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,2
M,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,2
F,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,2
F,0.675,0.525,0.17,1.711,0.8365,0.352,0.475,2
M,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,2
M,0.63,0.49,0.165,1.2005,0.575,0.273,0.294,2
I,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,2
I,0.59,0.46,0.125,0.755,0.334,0.15,0.238,2
F,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,2
F,0.63,0.485,0.185,1.167,0.548,0.2485,0.34,2
F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,2
M,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,2
I,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,2
F,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875,2
M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,2
M,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,2
M,0.51,0.4,0.14,0.6905,0.259,0.151,0.23,2
M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,2
I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,2
M,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,2
M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,2
M,0.58,0.46,0.15,1.0165,0.491,0.221,0.265,2
M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,2
F,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,2
M,0.715,0.545,0.18,1.7405,0.871,0.347,0.449,2
M,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,2
F,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,2
F,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,2
M,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,2
I,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,2
I,0.555,0.43,0.15,0.783,0.345,0.1755,0.247,2
M,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,2
F,0.67,0.54,0.2,1.46,0.6435,0.328,0.4165,2
M,0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,2
I,0.515,0.39,0.12,0.565,0.235,0.135,0.179,2
M,0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695,2
M,0.615,0.48,0.185,1.2205,0.4985,0.315,0.33,2
M,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24,2
F,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,2
M,0.295,0.225,0.09,0.1385,0.048,0.046,0.05,2
I,0.355,0.27,0.1,0.216,0.083,0.037,0.075,2
F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,2
M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,2
F,0.58,0.425,0.155,0.873,0.3615,0.249,0.239,2
M,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,2
M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,2
F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,2
F,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,2
M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,2
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,3
F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,3
F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,3
M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,3
F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,3
F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,3
M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,3
M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,3
M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,3
M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,3
M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,3
F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,3
F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,3
F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,3
M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,3
F,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,3
F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,3
M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,3
F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,3
M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,3
M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,3
M,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,3
M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,3
M,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,3
M,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,3
F,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,3
F,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,3
F,0.57,0.445,0.155,0.733,0.282,0.159,0.235,3
M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,3
I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,3
F,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,3
I,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,3
I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,3
I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,3
F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,3
I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,3
F,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,3
F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,3
M,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,3
M,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,3
M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,3
M,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,3
F,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,3
M,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,3
F,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,3
M,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,3
F,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,3
F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,3
F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,3
M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,3
I,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,3
I,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,3
M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,3
F,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,3
F,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,3
F,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,3
I,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,3
I,0.62,0.49,0.16,1.066,0.446,0.246,0.305,3
M,0.645,0.5,0.175,1.286,0.5645,0.288,0.386,3
M,0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,3
F,0.685,0.565,0.175,1.638,0.7775,0.375,0.438,3
M,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,3
M,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,3
M,0.57,0.46,0.155,1.0005,0.454,0.205,0.265,3
F,0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,3
F,0.635,0.52,0.165,1.3405,0.5065,0.296,0.412,3
F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,3
F,0.7,0.575,0.205,1.773,0.605,0.447,0.538,3
M,0.605,0.445,0.14,0.982,0.4295,0.2085,0.295,3
M,0.5,0.39,0.145,0.651,0.273,0.132,0.22,3
M,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,3
F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,3
F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,3
F,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,3
M,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,3
M,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,3
M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,3
I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,3
M,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,3
F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,3
F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,3
F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,3
M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,3
F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,3
F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,3
F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,3
F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,3
M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,3
F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,3
M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,3
F,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32,3
F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,3
F,0.48,0.39,0.125,0.6905,0.219,0.155,0.2,3
F,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095,3
M,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,3
F,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471,3
M,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,3
F,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,3
F,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,3
M,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345,3
F,0.66,0.525,0.16,1.277,0.4975,0.319,0.394,3
F,0.595,0.43,0.21,1.5245,0.653,0.396,0.41,3
I,0.55,0.445,0.145,0.783,0.3045,0.157,0.265,3
M,0.63,0.515,0.175,1.1955,0.492,0.247,0.37,3
F,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,3
M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,3
F,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,3
F,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,3
F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,3
M,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265,3
M,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,3
M,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,3
M,0.595,0.5,0.165,1.06,0.402,0.28,0.275,3
F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,3
F,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,3
M,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,3
F,0.62,0.5,0.175,1.146,0.477,0.23,0.39,3
F,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,3
I,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,3
F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,3
I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,3
M,0.455,0.345,0.125,0.44,0.169,0.1065,0.135,3
M,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,3
F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,3
F,0.64,0.5,0.165,1.1635,0.554,0.239,0.32,3
M,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,3
M,0.715,0.52,0.18,1.6,0.708,0.3525,0.445,3
F,0.595,0.45,0.165,1.081,0.49,0.2525,0.279,3
M,0.65,0.52,0.17,1.3655,0.6155,0.2885,0.36,3
M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,3
F,0.585,0.42,0.155,0.9845,0.442,0.2155,0.2875,3
M,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,3
M,0.535,0.41,0.15,0.8105,0.345,0.187,0.24,3
F,0.55,0.465,0.15,1.082,0.3575,0.194,0.19,3
F,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,3
F,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,3
I,0.56,0.445,0.165,1.0285,0.4535,0.253,0.275,3
I,0.55,0.44,0.165,0.8605,0.312,0.169,0.3,3
M,0.55,0.44,0.16,0.991,0.348,0.168,0.375,3
M,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,3
I,0.55,0.445,0.125,0.672,0.288,0.1365,0.21,3
