X14,X13,X12,X11,X10,X9,X8,X7,X6,X5,X4,X3,X2,X1,class
-0.998,-0.94,0,-1,-1,-1,-1,-0.991228,-0.25,-0.692308,0,-0.535714,-0.889624,1,-1
-1,-0.8,0,-1,-1,-1,-1,-0.991228,-0.25,0.538462,0,-0.982143,-0.809624,1,-1
-1,-0.82,0,-1,-1,-1,1,-0.994035,0.75,0.076923,0,-0.958214,-0.709173,1,-1
-1,-0.92,0,-1,-1,-1,1,-0.719298,-0.25,0.076923,-1,0.178571,-0.353384,1,-1
-0.99998,-0.724,0,1,-1,-1,-1,-1,-0.5,-0.384615,0,-0.857143,-0.626466,-1,-1
-0.99998,-0.82,0,1,-1,-1,-1,-1,-1,-1,-1,-0.747143,-0.847218,1,-1
-0.99718,-0.8,0,1,-1,-1,-1,-0.754386,-0.25,0.846154,-1,-0.839286,-0.41594,-1,-1
-1,-1,-1,1,-1,-1,-1,-0.958947,-0.25,-0.846154,0,-0.886786,-0.488722,1,-1
-0.99916,-0.92,0,-1,-1,-1,-1,-0.970877,-0.25,-0.846154,0,-0.285714,-0.854737,-1,-1
-1,-0.737,0,1,-1,-1,-1,-0.991228,-0.25,0.538462,0,-0.928571,-0.050226,-1,-1
-0.99032,-0.92,0,-1,-1,-1,-1,-0.979649,0.75,-0.692308,0,-0.613214,-0.836993,-1,-1
-0.99988,-0.9,0,-1,-0.910448,1,1,-0.988421,-0.25,0.538462,0,-0.785714,-0.79188,-1,1
-0.99972,-0.88,0,-1,-0.910448,1,1,-0.877193,-0.25,0.230769,0,0.791786,0.037594,1,1
-0.97806,-0.892,0,1,-0.850746,1,1,-0.909474,-0.25,-0.076923,0,-0.571429,-0.238195,1,1
-1,-0.7,-1,-1,-1,-1,1,-0.941404,-0.25,0.076923,0,-0.928571,-0.714286,1,1
-0.99558,-1,0,1,-0.641791,1,1,-0.684211,-0.25,0.076923,0,-0.345,-0.385865,1,1
-0.9387,-1,0,-1,-0.791045,1,1,-0.649123,-0.25,0.076923,0,-0.642857,-0.193083,1,1
-1,-0.88,0,1,-0.970149,1,1,-0.698947,-0.25,0.846154,0,-0.696429,-0.611429,1,1
-1,-0.846,0,1,-1,-1,1,-0.631579,0.75,0.230769,-1,-0.357143,-0.430978,1,1
-0.91682,-0.604,0,1,-0.761194,1,1,-0.833333,-0.25,0.076923,0,-0.785714,-0.027669,-1,1
-0.98516,-0.944,0,-1,-0.731343,1,1,-0.754386,-0.25,-0.692308,0,-0.178571,-0.719399,1,1
-0.954,-1,0,-1,-0.58209,1,1,-0.438597,0.75,0.538462,-1,-0.461429,-0.200601,-1,1
-0.9,-1,0,-1,-0.940299,1,1,-0.649123,0.75,0.538462,0,-0.035714,-0.60391,-1,1
-0.93486,-0.871,0,-1,-0.791045,1,1,-0.818597,-0.25,0.538462,0,-0.595357,-0.739248,-1,1
-1,-0.68,0,1,-0.701493,1,1,-0.982456,-0.25,-0.538462,-1,-0.684643,-0.310677,1,1
-0.84912,-0.86,0,-1,-0.880597,1,1,-0.929825,0.75,1,0,-0.857143,-0.581353,1,1
-1,-1,0,1,-0.492537,1,1,0.052632,0,-0.846154,0,0.321429,0.28812,1,1
-1,-1,0,1,-1,-1,1,-0.953333,0.75,-0.846154,0,-0.982143,-0.756993,1,1
-0.99912,-0.7,0,-1,-1,-1,-1,-0.973684,-0.25,0.846154,0,-0.973214,-0.400902,-1,1
-1,-1,0,1,-1,-1,1,-1,-1,-1,0,0.267857,0.794586,1,1
-0.99684,-0.94,0,-1,-0.58209,1,1,-0.862456,-0.25,-0.230769,0,-0.416429,-0.806917,1,1
-0.9862,-0.648,0,1,-0.850746,1,1,-0.877193,-0.25,0.076923,0,-0.946429,-0.929925,1,1
-1,-0.88,0,1,-1,-1,1,-0.888772,0.75,0.538462,0,-0.118929,-0.679098,1,1
-1,-0.509,0,1,-1,-1,1,-0.938597,0.75,0.076923,0,-0.964286,-0.639098,-1,1
-0.94536,-0.62,0,-1,-0.671642,1,1,-0.982456,-0.25,-0.538462,-1,-0.985357,0.047519,1,1
-0.69784,-0.74,0,-1,-0.910448,1,1,-0.982456,-0.25,-0.076923,0,-0.973214,-0.646617,1,1
-0.82298,-1,0,-1,-0.850746,1,1,-0.649123,-1,-1,0,-0.178571,0.268271,1,1
-0.9462,-1,0,-1,-1,-1,-1,-0.997193,-0.25,-0.538462,0,-0.568571,0.032481,1,1
-1,-0.52,0,1,-0.850746,1,1,-0.991228,-0.25,1,0,-0.877857,-0.235489,1,1
-0.988,-0.49,0,-1,-1,-1,1,-0.824561,-0.25,1,0,-0.931429,-0.157895,1,1
-0.78878,-0.979,0,1,-1,-1,1,-0.22807,-0.25,0.538462,0,0.178571,0.408421,-1,1
-1,-0.66,-1,1,-1,-1,-1,-0.842105,0.75,0.846154,0,-0.821429,-0.491128,1,-1
-0.99998,-0.76,0,-1,-1,-1,-1,-0.991228,0.75,0.846154,-1,-0.958214,-0.694135,1,-1
-0.99946,-0.9,0,1,-1,-1,1,-1,-0.5,-0.384615,0,-0.892857,0.06015,-1,-1
-1,-0.8,0,-1,-1,-1,-1,-0.877193,-0.25,0.230769,0,-0.910714,-0.528722,1,-1
-0.99996,-0.86,0,1,-1,-1,-1,-0.976491,-0.25,-0.692308,0,-0.765,-0.89985,1,-1
-0.996,-1,0,-1,-0.820896,1,-1,-1,-1,-1,0,-0.732143,-0.35579,-1,-1
-1,-0.64,0,-1,-1,-1,-1,-0.991228,-0.25,0.076923,0,-0.964286,-0.754286,1,-1
-1,-0.9,0,1,-1,-1,-1,-0.982456,-0.25,-0.230769,0,-0.741071,-0.553985,1,-1
-1,-0.8,0,-1,-0.940299,1,1,-0.909474,-0.25,0.538462,0,-0.919643,-0.649023,-1,-1
-1,-0.8,-1,-1,-1,-1,1,-0.994035,-0.25,-0.076923,0,-0.940357,-0.924812,1,-1
-0.998,-0.8,0,1,-1,-1,1,-0.33614,0.75,0.076923,-1,-0.901786,0.160301,1,-1
-0.99968,-0.98,0,1,-1,-1,-1,-0.789474,0.75,-0.538462,-1,-0.178571,-0.704361,-1,-1
-1,-0.784,0,-1,-1,-1,-1,-0.988421,-0.25,0.076923,0,-0.75,-0.516391,1,-1
-0.99298,-1,0,-1,-1,-1,-1,-0.988421,-0.25,0.076923,0,-0.392857,-0.787068,-1,-1
-1,-0.44,0,-1,-1,-1,1,-0.947368,0,-0.692308,0,-0.839286,-0.115188,1,-1
-1,-0.856,0,-1,-1,-1,-1,-0.964912,-0.25,-0.846154,0,-1,-0.81203,1,-1
-1,-0.732,0,1,-1,-1,1,-0.789474,-0.25,0.538462,-1,-0.214286,-0.736842,-1,-1
-1,-0.888,0,-1,-1,-1,1,-0.649123,0.75,0.076923,-1,-0.089286,0.466165,1,-1
-1,-0.6,-1,-1,-1,-1,-1,-0.988421,-0.25,-0.076923,-1,-0.877857,-0.22797,1,-1
-0.99784,-0.728,0,1,-0.970149,1,-1,-0.991228,0.75,-0.076923,0,-0.979286,-0.593985,-1,-1
-1,-0.84,0,-1,-1,-1,-1,-0.991228,-0.25,0.076923,0,-0.684643,-0.260752,-1,-1
-1,-0.906,0,-1,-0.970149,1,1,-1,-1,-1,0,0.357143,0.077594,1,-1
-1,-0.864,0,1,-1,-1,-1,-0.859649,-0.25,0.076923,0,-0.211071,-0.81203,1,-1
-1,-0.84,0,-1,-1,-1,-1,-0.991228,-0.25,-0.538462,-1,-0.276786,-0.263158,1,-1
-0.99998,-0.66,0,-1,-1,-1,-1,-1,-1,-1,0,-0.881071,-0.591579,-1,-1
-1,-0.772,0,-1,-1,-1,-1,-0.964912,0.75,-0.846154,0,-0.071429,-0.533835,1,-1
-1,-0.68,-1,1,-1,-1,1,-0.964912,-0.25,-0.076923,0,-0.946429,-0.721805,1,-1
-1,-0.88,0,-1,-1,-1,1,-0.684211,-0.25,-0.230769,-1,-0.214286,-0.661654,-1,-1
-1,-0.7,0,1,-1,-1,-1,-0.982456,-0.25,0.230769,0,-0.9525,-0.518797,-1,-1
-0.99706,-0.82,0,-1,-0.910448,1,1,-0.964912,-1,-1,-1,-0.925714,-0.676692,-1,-1
-0.9598,-0.62,0,-1,-1,-1,-1,-0.982456,-0.25,-0.538462,0,-0.955357,-0.46406,1,-1
-0.9925,-0.88,0,-1,-1,-1,1,-0.991228,-0.25,-0.230769,-1,-0.256071,-0.859549,1,-1
-1,-0.76,-1,1,-1,-1,-1,-0.929825,0.75,-0.538462,0,-0.6725,-0.06015,-1,-1
-1,-0.84,0,-1,-0.970149,1,1,-0.973684,-0.25,0.538462,0,-0.622143,-0.79188,1,-1
-0.999,-0.546,0,-1,-1,-1,-1,-0.754386,-0.25,0.538462,0,-0.696429,-0.31579,1,-1
-1,-0.84,0,1,-1,-1,-1,-0.964912,0.75,-0.692308,-1,-0.910714,-0.366015,-1,-1
-1,-0.82,0,1,-1,-1,-1,-0.982456,-0.25,0.076923,0,-0.160714,-0.759399,-1,-1
-1,-0.68,0,1,-1,-1,-1,-0.830526,-0.25,0.076923,0,-0.806429,0.348271,1,-1
-0.94394,-0.66,0,-1,-0.970149,1,-1,-0.979649,-0.25,0.230769,0,-0.958571,-0.526316,1,-1
-0.99532,-0.84,0,-1,-0.970149,1,1,-0.894737,-0.25,-0.538462,0,-0.464286,-0.799399,-1,1
-0.99986,-0.856,0,1,-0.761194,1,1,-0.894737,0,0.076923,-1,-0.64,-0.56391,1,1
-1,-0.819,0,1,-0.940299,1,1,-0.707719,0.75,-0.538462,0,-0.857143,-0.571429,1,1
-0.99484,-0.86,0,1,1,1,1,-0.915088,-0.25,0.846154,0,-0.107143,-0.641504,1,1
-1,-1,0,-1,-1,-1,1,-0.54386,-0.25,1,0,-0.25,-0.46406,1,1
-0.89752,-0.904,0,1,-0.791045,1,1,-0.979649,-0.25,0.076923,0,-0.958571,-0.651729,1,1
-0.99,-0.74,0,-1,-0.940299,1,1,-0.982456,-0.25,0.846154,-1,-0.958214,-0.578947,1,1
-0.994,-0.8,0,-1,-0.970149,1,1,-0.997193,-0.25,0.538462,0,-0.556429,-0.212932,1,1
-1,-0.601,0,1,-0.58209,1,1,-0.298246,0.75,0.846154,0,-0.580357,-0.230677,1,1
-0.7,-1,0,-1,-0.402985,1,1,0.052632,0,0.076923,0,-0.979286,0.02015,1,1
-0.9387,-1,0,1,-0.791045,1,1,-0.719298,0,0.076923,0,-0.535714,-0.496241,-1,1
-0.972,-1,0,1,-0.671642,1,1,-1,-1,-1,0,0,0.546466,-1,1
-1,-0.908,0,1,-1,-1,1,-0.105263,0.75,0.538462,0,-0.64,-0.145263,1,1
-0.998,-0.768,0,-1,-0.970149,1,1,-1,-1,-1,0,-0.988214,0.513684,-1,1
-0.997,-0.84,0,-1,-1,-1,1,-0.900702,-0.25,-0.230769,0,-0.381071,-0.629173,-1,1
-0.99,-1,0,-1,-0.432836,1,1,-0.871228,0.75,0.538462,0,-0.785714,-0.669173,-1,1
-0.96,-0.72,0,1,-0.970149,1,1,-0.997193,0,-0.076923,-1,-0.994286,-0.388571,1,1
-1,-0.9,-1,1,-1,-1,1,-0.614035,-0.25,-0.846154,-1,-0.526786,-0.681805,1,1
-0.9787,-0.74,0,1,-1,-1,1,-0.973684,-0.25,0.230769,-1,-0.892857,-0.601504,1,1
-1,-1,0,-1,-1,-1,1,0.052632,0,0.076923,0,-1,-0.170526,1,1
-0.94994,-0.78,0,-1,-0.850746,1,1,-0.853684,-0.25,0.538462,0,-0.868929,-0.79188,-1,1
-0.98216,-0.667,0,-1,-0.970149,1,1,-0.807018,0.75,0.538462,0,-0.946429,0.007519,-1,1
-1,-0.65,0,1,-1,-1,1,-0.578947,0.75,0.538462,0,-0.535714,0.047519,1,1
-0.99782,-1,0,1,-0.970149,1,1,-0.105263,1,0.384615,0,0.592143,0.894737,1,1
-0.988,-0.96,0,1,-0.820896,1,1,-0.885965,-0.25,0.230769,0,-0.321429,-0.847218,-1,1
-1,-1,0,1,-1,-1,1,-0.929825,-0.25,-0.538462,0,-0.571429,-0.263158,-1,1
-1,-0.805,0,1,-0.791045,1,1,-0.403509,0,-0.692308,-1,-0.711429,-0.37594,1,1
-1,-0.8,0,1,-0.880597,1,1,-0.912281,-0.25,-0.076923,0,-0.125,0.293233,1,1
-1,-0.688,0,1,-0.850746,1,1,-0.897544,-0.25,0.076923,0,-0.964286,-0.639098,1,1
-0.994,-0.92,0,1,-0.970149,1,1,-0.842105,-0.25,0.230769,-1,-0.657857,-0.781955,1,1
-1,-1,-1,-1,-1,-1,-1,-0.994035,-0.25,-0.076923,0,-0.987857,-0.724211,1,-1
-1,-0.769,0,1,-1,-1,-1,-0.894737,-0.25,-0.538462,0,-0.946429,-0.343459,1,-1
-0.99966,-1,0,1,-1,-1,-1,-0.912281,0.75,-0.538462,-1,-0.107143,-0.626466,1,-1
-1,-0.88,0,1,-1,-1,-1,-0.894737,-0.25,0.846154,-1,-0.714286,-0.448722,1,-1
-0.99988,-0.872,0,-1,-0.940299,1,-1,-0.997193,-0.25,0.076923,-1,-0.970357,-0.699248,1,-1
-1,-0.779,0,1,-1,-1,-1,-0.982456,-0.25,-0.692308,0,-0.857143,-0.310677,1,-1
-1,-0.829,0,1,-1,-1,1,-0.964912,0,-0.692308,0,-0.747143,-0.553985,-1,-1
-0.99112,-0.728,0,-1,-0.970149,1,-1,-0.988421,-0.25,0.230769,0,-0.961429,-0.649023,1,-1
-0.99088,-0.8,0,-1,-1,-1,-1,-0.684211,0,-0.692308,-1,-0.821429,-0.681805,-1,-1
-1,-0.92,0,1,-1,-1,-1,-0.947368,-0.25,-0.846154,0,-0.857143,-0.609023,1,-1
-1,-0.54,0,1,-1,-1,-1,-0.701754,-0.25,-0.846154,-1,-0.997143,-0.46406,1,-1
-1,-0.816,0,1,-1,-1,1,-0.122807,0,-0.846154,0,-0.714286,-0.366015,1,-1
-1,-0.74,0,1,-1,-1,1,-0.938597,-0.25,0.230769,0,-0.107143,-0.674286,1,-1
-1,-0.48,0,1,-1,-1,-1,-0.994035,0,1,0,-0.7025,0.024962,1,-1
-0.98998,-1,0,1,-1,-1,-1,-0.988421,-0.25,0.846154,0,-0.809643,-0.290827,1,-1
-1,-0.88,0,1,-1,-1,-1,-0.988421,-0.25,-0.846154,0,-0.785714,-0.438496,1,-1
-1,-0.925,0,1,-0.940299,1,1,-0.596491,0.75,-0.692308,-1,-0.714286,-0.576541,1,-1
-1,-0.856,0,-1,-1,-1,-1,-0.994035,-0.25,-0.692308,0,-0.943571,-0.731729,-1,-1
-0.99996,-0.7,0,1,-1,-1,-1,-0.964912,-0.25,-0.538462,0,-0.875,-0.243008,1,-1
-0.998,-0.892,0,-1,-1,-1,-1,-0.997193,-0.25,-0.230769,0,-0.708214,-0.12782,1,-1
-1,-0.86,0,-1,-1,-1,-1,-0.997193,-0.25,-0.076923,-1,-0.517857,-0.869774,1,-1
-0.99864,-0.54,0,1,-0.970149,1,-1,-0.859649,-0.25,-0.076923,0,-0.660714,-0.52391,1,-1
-1,-0.856,-1,1,-1,-1,-1,-0.976491,-0.25,-0.692308,0,-0.970357,-0.736842,-1,-1
-1,-0.82,0,-1,-1,-1,-1,-0.994035,-0.25,0.846154,-1,-0.976071,-0.403609,1,-1
-0.99982,-0.6,0,1,-0.970149,1,-1,-0.888772,-0.25,-0.692308,0,-0.946429,-0.731729,1,-1
-0.99994,-0.76,0,-1,-1,-1,-1,-0.958947,-0.25,-0.846154,-1,-0.946429,-0.318196,1,-1
-0.99956,-1,0,-1,-0.970149,1,-1,-0.912281,-0.25,0.076923,0,-0.785714,-0.656541,1,-1
-1,-0.4,0,-1,-1,-1,-1,-0.929825,-0.25,0.384615,0,-0.5,-0.957293,1,-1
-0.99526,-0.76,0,-1,-1,-1,-1,-0.953333,-0.25,-0.230769,0,-0.925714,-0.163008,-1,-1
-0.98826,-0.84,0,1,-0.940299,1,-1,-0.932632,0.5,0.076923,0,-0.824286,-0.867068,1,-1
-0.99508,-0.74,0,-1,-1,-1,-1,-0.985263,0.75,-0.692308,0,-0.821429,-0.290827,-1,-1
-1,-0.972,-1,-1,-1,-1,-1,-0.918246,-0.25,-0.076923,0,-0.922857,-0.370827,1,-1
-0.9932,-1,0,-1,-1,-1,1,-0.962105,-0.25,0.076923,0,-0.607143,1,1,-1
-0.98,-0.78,0,-1,-1,-1,-1,-0.988421,-0.25,-0.230769,0,-0.559643,-0.729323,-1,-1
-0.99994,-0.871,0,1,-0.641791,1,-1,-0.994035,0.75,0.538462,0,-0.238214,-0.493835,-1,-1
-1,-0.84,0,-1,-1,-1,-1,-1,-0.5,-0.384615,-1,-0.875,-0.759399,-1,-1
-0.97884,-0.84,0,-1,-1,-1,-1,-0.988421,-0.25,0.076923,-1,-0.773929,-0.724211,1,-1
-0.99978,-0.8,0,1,-0.970149,1,-1,-0.970877,-0.25,0.538462,0,-0.940714,-0.704361,-1,-1
-1,-0.629,0,1,-0.970149,1,1,-0.92386,-0.25,0.076923,0,-0.732143,-0.548872,-1,1
-0.97584,-0.8,0,-1,-0.492537,1,1,-0.824561,-0.25,0.076923,0,-0.196429,-0.661654,1,1
-0.46548,-0.816,0,-1,-0.850746,1,1,-0.809825,-0.25,0.538462,0,-0.464286,-0.849624,-1,1
-0.99664,-0.619,0,-1,-0.820896,1,1,-0.602456,0.75,0.538462,0,-0.333214,-0.551278,1,1
-0.97502,-1,0,-1,-0.671642,1,1,-1,0,-0.692308,0,-0.285714,0.130226,1,1
-0.99994,-0.9,0,1,-0.850746,1,1,-0.736842,-0.25,0.230769,0,-0.89,-0.576541,1,1
-0.99444,-0.92,0,-1,-0.970149,1,1,-0.859649,-0.25,0.230769,0,-0.214286,-0.741955,1,1
-0.99998,-0.5,-1,1,-1,-1,-1,-1,0,-0.076923,-1,-1,-0.836993,1,1
-1,-1,0,-1,-1,-1,1,-1,-0.75,0.384615,0,-0.288571,-0.804511,1,1
-0.98,-1,0,1,-0.552239,1,1,0.263158,-1,-1,0,0.035714,0.393384,1,1
-0.994,-1,0,1,-1,-1,1,-0.842105,0,-0.692308,0,-0.928571,-0.170526,-1,1
-1,-0.907,0,1,-0.641791,1,1,-0.701754,0.75,-0.076923,0,-0.535714,-0.290827,1,1
-1,-0.74,0,1,-1,-1,1,-0.991228,-0.25,0.538462,0,-0.89,0.381053,1,1
-0.94,-1,0,-1,-0.671642,1,1,-0.929825,0.75,1,0,-0.214286,-0.877293,-1,1
-0.9888,-1,0,1,-0.850746,1,1,-0.970877,-0.25,0.538462,0,-0.232143,-0.734436,-1,1
-1,-0.98,-1,1,-1,-1,1,-0.789474,-0.25,-0.230769,0,-0.107143,-0.661654,1,1
-0.99266,-1,0,-1,-0.820896,1,1,-0.824561,0,0.076923,0,-0.642857,-0.323308,1,1
-1,-0.772,0,1,-1,-1,1,-0.991228,-0.25,0.538462,0,-0.607143,-0.278196,-1,1
-0.9758,-0.883,0,-1,-0.522388,1,1,-0.54386,0,0.076923,0,-0.696429,-0.225564,1,1
-1,-0.9,0,-1,-0.970149,1,1,-0.967719,0.75,1,0,-0.205357,-0.716692,1,1
-1,-0.93,0,-1,-0.970149,1,1,-0.821754,0.75,1,-1,-0.782857,-0.556391,-1,1
-0.99884,-0.94,0,1,-0.850746,1,1,-0.877193,-0.25,0.230769,0,-0.803571,0.37594,1,1
-1,-0.816,1,-1,-1,-1,-1,-1,-0.25,0.076923,0,-1,0.739248,-1,1
-1,-0.67,0,1,-0.940299,1,1,-0.473684,-0.25,0.230769,0,-0.678571,-0.52391,1,1
-0.77596,-1,0,-1,-0.552239,1,1,-0.558597,-0.25,-0.538462,0,-0.535714,0.165414,1,1
-0.9992,-0.8,0,-1,-1,-1,-1,-0.985263,0.5,0.538462,0,-0.988214,-0.872181,1,1
-0.96796,-1,0,-1,-0.58209,1,1,-0.719298,-0.25,0.538462,0,-0.285714,0.340752,-1,1
-0.9808,-0.9,0,-1,-1,-1,1,-1,-0.5,-0.384615,0,-0.714286,-0.030075,-1,1
-1,-0.904,0,-1,-0.791045,1,1,-0.947368,0.75,0.846154,0,-0.386786,-0.836993,-1,1
-1,-0.775,0,1,-1,-1,1,-0.991228,-0.25,-0.076923,0,-0.696429,0.045113,1,1
-1,-0.72,-1,-1,-1,-1,1,-0.941404,-0.25,0.230769,0,-0.75,-0.558797,-1,1
-1,-0.832,0,-1,-1,-1,-1,-0.988421,-0.25,-0.846154,0,-0.904643,-0.175338,1,-1
-0.99592,-0.72,0,-1,-1,-1,-1,-0.982456,0.75,0.076923,-1,-0.982143,-0.776842,1,-1
-0.99992,-1,0,1,-1,-1,-1,-0.649123,-1,-1,-1,-0.696429,0.295639,-1,-1
-0.9998,-0.72,0,1,-0.970149,1,-1,-0.804211,-0.25,-0.076923,0,-0.785714,-0.58406,-1,-1
-1,-0.88,1,-1,-1,-1,-1,-0.894737,-0.25,0.076923,0,-0.845357,-0.400902,1,-1
-1,-0.56,0,1,-1,-1,1,-0.830526,-0.25,0.538462,0,-0.881071,-0.553985,-1,-1
-1,-0.855,0,-1,-1,-1,-1,-1,-1,-1,0,-0.958214,0.112782,1,-1
-1,-0.816,0,-1,-1,-1,-1,-1,-1,-1,-1,-0.035714,-0.674286,1,-1
-0.896,-0.816,0,-1,-1,-1,-1,-1,-1,-1,0,-0.196429,-0.46406,-1,-1
-1,-0.86,0,1,-1,-1,1,-0.941404,0.75,-0.538462,-1,-0.285714,-0.821955,1,-1
-0.99998,-0.9,0,-1,-0.970149,1,-1,-0.997193,-0.25,-0.076923,0,-0.482143,-0.829474,1,-1
-0.99964,-0.88,0,-1,-1,-1,-1,-0.929825,-0.25,0.076923,0,-0.973214,-0.93985,-1,-1
-0.99998,-0.864,0,1,-1,-1,-1,-0.962105,-0.25,0.076923,0,-0.872143,-0.704361,1,-1
-0.99996,-0.691,0,1,-1,-1,-1,-0.979649,-0.25,0.230769,-1,-0.97,-0.325714,1,-1
-0.99998,-0.72,0,-1,-1,-1,-1,-0.894737,0.75,0.538462,0,-0.023929,-0.669173,-1,-1
-1,-0.72,0,1,-1,-1,-1,-0.508772,-0.25,0.230769,-1,-0.821429,-0.421053,1,-1
-0.99992,-0.8,0,1,-0.940299,1,-1,-0.786667,-1,-1,0,-0.776786,-0.453534,-1,-1
-0.99936,-0.846,0,1,-1,-1,-1,-1,0.75,1,-1,-0.25,-0.799399,-1,-1
-0.99944,-0.868,0,1,-0.701493,1,1,-0.964912,0,-0.692308,-1,-0.925714,-0.508872,1,-1
-1,-0.868,0,-1,-1,-1,-1,-0.988421,-0.25,0.076923,0,-0.991071,-0.917293,1,-1
-0.99756,-0.628,0,1,-1,-1,-1,-0.982456,-0.25,0.076923,0,-0.892857,-0.443609,-1,-1
-1,-0.82,0,-1,-1,-1,-1,-0.859649,-0.25,-0.230769,-1,-0.785714,-0.413534,-1,-1
-1,-0.72,-1,1,-1,-1,-1,-0.982456,-0.25,-0.846154,0,-0.988214,-0.864662,1,-1
-0.9955,-1,0,1,-1,-1,1,-0.894737,-0.25,0.076923,-1,-0.892857,-0.548872,1,-1
-1,-0.557,0,1,-1,-1,1,-0.991228,-0.25,-0.230769,0,-0.535714,-0.388571,1,-1
-1,-0.52,0,-1,-1,-1,-1,-0.789474,-0.25,0.076923,0,-0.714286,-0.238195,-1,-1
-0.98556,-0.86,0,-1,-1,-1,-1,-0.997193,-0.25,0.076923,-1,-0.993929,-0.89985,1,-1
-1,-0.927,0,1,-1,-1,-1,-0.783509,0,-0.692308,0,-0.535714,0.14797,-1,-1
-1,-0.768,0,1,-1,-1,-1,-0.964912,-0.25,-0.538462,0,-0.75,-0.441203,1,-1
-1,-0.816,1,-1,-1,-1,-1,-1,-0.25,0.076923,0,-1,-0.799399,1,-1
-0.99994,-0.9,0,1,-0.970149,1,-1,-0.842105,-0.25,0.230769,0,-0.892857,-0.576541,1,-1
-1,-0.72,0,1,-1,-1,-1,-0.912281,-0.25,-0.538462,-1,-0.875,-0.52391,-1,-1
-1,-0.88,0,-1,-1,-1,1,-0.964912,-0.25,0.076923,0,0.107143,-0.468571,1,-1
-0.99946,-0.938,-1,1,-1,-1,-1,-1,-1,-1,0,-0.988214,0.190376,-1,-1
-1,-0.84,0,-1,-1,-1,-1,-0.953333,-0.25,0.846154,-1,-0.943571,-0.764511,1,-1
-1,-0.94,0,-1,-1,-1,-1,-0.982456,-0.25,-0.230769,-1,-1,-0.924812,1,-1
-1,-0.924,0,-1,-1,-1,-1,-1,-1,-1,0,-0.892857,-0.24812,-1,-1
