V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.57,0.43,0.145,0.833,0.354,0.144,0.2815,2
M,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,2
M,0.6,0.47,0.165,1.059,0.504,0.241,0.275,2
M,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,2
M,0.63,0.505,0.17,1.0915,0.4615,0.266,0.3,2
F,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,2
M,0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,2
M,0.5,0.37,0.15,1.0615,0.494,0.223,0.296,2
F,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,2
M,0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,2
F,0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,2
I,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,2
I,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,2
I,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,2
I,0.605,0.49,0.165,1.071,0.482,0.1935,0.352,2
M,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,2
F,0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,2
I,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,2
M,0.59,0.465,0.165,1.115,0.5165,0.273,0.275,2
M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,2
M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,2
M,0.585,0.455,0.14,0.97,0.462,0.185,0.295,2
M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,2
F,0.55,0.425,0.145,0.797,0.297,0.15,0.265,2
M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,2
F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,2
M,0.37,0.29,0.09,0.241,0.11,0.045,0.069,2
F,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,2
M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,2
M,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,2
M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,2
F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,2
M,0.77,0.6,0.215,2.1945,1.0515,0.482,0.584,2
M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,2
F,0.625,0.49,0.155,1.115,0.484,0.277,0.3095,2
F,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,2
F,0.525,0.415,0.15,0.7055,0.329,0.147,0.199,2
F,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,2
M,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,2
M,0.64,0.495,0.17,1.139,0.5395,0.282,0.285,2
F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,2
M,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,2
I,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755,2
F,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248,2
M,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,2
F,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,2
M,0.67,0.525,0.195,1.4405,0.6595,0.2675,0.425,2
M,0.61,0.485,0.17,1.281,0.597,0.3035,0.33,2
I,0.535,0.42,0.145,0.6885,0.273,0.1515,0.237,2
F,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,2
F,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,2
M,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421,2
F,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,2
F,0.43,0.35,0.09,0.397,0.1575,0.089,0.12,2
I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,2
M,0.53,0.405,0.13,0.738,0.2845,0.17,0.193,2
I,0.435,0.34,0.11,0.407,0.1685,0.073,0.13,2
M,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,2
M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,2
M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,2
F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,2
I,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,2
I,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,2
F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,2
M,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,2
I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,2
M,0.545,0.41,0.14,0.737,0.349,0.15,0.212,2
F,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,2
F,0.65,0.52,0.195,1.281,0.5985,0.246,0.3825,2
I,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,2
M,0.625,0.48,0.18,1.223,0.565,0.2975,0.3375,2
I,0.535,0.4,0.145,0.705,0.3065,0.1365,0.22,2
I,0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,2
M,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,2
F,0.68,0.52,0.185,1.541,0.5985,0.395,0.4575,2
M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,2
I,0.435,0.355,0.125,0.4075,0.1535,0.074,0.165,2
I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,2
M,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,2
I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,2
F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,2
M,0.57,0.445,0.16,1.0145,0.516,0.164,0.3,2
F,0.715,0.565,0.18,1.79,0.844,0.3535,0.5385,2
I,0.55,0.445,0.11,0.7935,0.378,0.142,0.26,2
I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,2
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,3
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,3
M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,3
M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,3
M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,3
M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,3
F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,3
M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,3
M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,3
F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,3
M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,3
M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,3
F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,3
M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,3
F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,3
M,0.59,0.45,0.185,1.283,0.473,0.276,0.425,3
M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,3
F,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,3
M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,3
M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,3
F,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,3
M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,3
M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,3
F,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,3
F,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,3
F,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,3
F,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,3
M,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,3
I,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,3
I,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,3
I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,3
I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,3
F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,3
I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,3
I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,3
F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,3
M,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,3
F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,3
M,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,3
F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,3
M,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,3
F,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,3
F,0.54,0.44,0.135,0.959,0.2385,0.221,0.3,3
M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,3
M,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,3
F,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,3
M,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,3
F,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,3
F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,3
M,0.655,0.515,0.16,1.31,0.553,0.369,0.345,3
M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,3
M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,3
F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,3
M,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,3
F,0.725,0.6,0.2,1.737,0.697,0.3585,0.595,3
F,0.645,0.505,0.165,1.318,0.55,0.3015,0.335,3
M,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,3
I,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,3
M,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,3
F,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,3
F,0.67,0.54,0.195,1.619,0.74,0.3305,0.465,3
M,0.71,0.56,0.22,2.015,0.9215,0.454,0.566,3
M,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,3
I,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,3
M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,3
F,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,3
F,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,3
F,0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245,3
F,0.75,0.55,0.195,1.8325,0.83,0.366,0.44,3
M,0.72,0.585,0.22,1.914,0.9155,0.448,0.479,3
M,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,3
M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,3
F,0.57,0.45,0.17,1.098,0.414,0.187,0.405,3
M,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,3
F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,3
F,0.555,0.455,0.18,0.958,0.296,0.195,0.39,3
F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,3
F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,3
F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,3
F,0.58,0.455,0.12,0.94,0.399,0.257,0.265,3
M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,3
F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,3
F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,3
M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,3
F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,3
I,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106,3
I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,3
I,0.625,0.43,0.175,1.411,0.572,0.297,0.395,3
I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,3
F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,3
M,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,3
F,0.52,0.425,0.145,0.7,0.207,0.1905,0.24,3
F,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,3
I,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,3
F,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,3
M,0.68,0.53,0.18,1.529,0.7635,0.3115,0.4025,3
F,0.58,0.465,0.145,0.9865,0.47,0.2155,0.25,3
M,0.71,0.565,0.2,1.601,0.706,0.321,0.45,3
I,0.54,0.425,0.13,0.8155,0.3675,0.1365,0.246,3
M,0.625,0.495,0.175,1.2075,0.531,0.281,0.3525,3
M,0.65,0.52,0.195,1.676,0.693,0.44,0.47,3
M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,3
M,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563,3
M,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,3
F,0.655,0.455,0.17,1.2895,0.587,0.3165,0.3415,3
F,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,3
M,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,3
M,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,3
F,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,3
F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,3
F,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,3
F,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,3
F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,3
F,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,3
F,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,3
F,0.59,0.475,0.155,0.9715,0.371,0.235,0.28,3
F,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,3
F,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,3
I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,3
F,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,3
F,0.48,0.38,0.145,0.59,0.232,0.141,0.23,3
I,0.44,0.31,0.115,0.3625,0.134,0.082,0.12,3
F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,3
F,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,3
F,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,3
M,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,3
M,0.655,0.525,0.16,1.46,0.686,0.311,0.405,3
F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,3
I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,3
F,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,3
F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,3
F,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,3
M,0.68,0.52,0.175,1.543,0.7525,0.351,0.374,3
M,0.55,0.41,0.15,0.785,0.282,0.186,0.275,3
F,0.45,0.36,0.11,0.447,0.203,0.082,0.13,3
F,0.5,0.4,0.15,0.8085,0.273,0.112,0.295,3
M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,3
I,0.58,0.42,0.16,0.728,0.2725,0.19,0.19,3
M,0.505,0.39,0.105,0.6555,0.2595,0.18,0.19,3
F,0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,3
