V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,1
I,0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,1
I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,1
M,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,1
M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,1
I,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,1
I,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125,1
M,0.505,0.4,0.135,0.723,0.377,0.149,0.178,1
F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,1
I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,1
I,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,1
I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,1
I,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,1
I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,1
I,0.45,0.335,0.105,0.362,0.1575,0.0795,0.1095,1
M,0.625,0.5,0.13,1.082,0.5785,0.2045,0.25,1
I,0.4,0.315,0.09,0.3245,0.151,0.073,0.088,1
I,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,1
I,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,1
M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,1
I,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,1
I,0.495,0.33,0.1,0.44,0.177,0.095,0.15,1
I,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,1
I,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725,1
F,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,1
M,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,1
F,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,1
M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,1
I,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,1
I,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,1
I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,1
I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,1
F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,1
I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,1
I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,1
M,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,1
I,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,1
I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,1
I,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,1
I,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,1
I,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,1
I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,1
F,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,1
I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,1
I,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05,1
M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,1
M,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,1
I,0.16,0.12,0.02,0.018,0.0075,0.0045,0.005,1
M,0.485,0.385,0.105,0.556,0.296,0.104,0.133,1
M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,1
I,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,1
I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,1
I,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,1
M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,1
I,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,1
I,0.56,0.42,0.14,0.837,0.414,0.214,0.2,1
I,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,1
I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,1
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,2
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,2
M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,2
M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,2
F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,2
F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,2
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,2
F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,2
M,0.58,0.455,0.17,0.93,0.408,0.259,0.22,2
M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,2
F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,2
I,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,2
I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,2
M,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,2
I,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,2
M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,2
M,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,2
F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,2
I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,2
M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,2
M,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,2
F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,2
F,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,2
M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,2
M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,2
M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,2
F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,2
F,0.58,0.45,0.155,0.93,0.385,0.246,0.265,2
M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,2
F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,2
M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,2
M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,2
I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,2
F,0.55,0.405,0.125,0.651,0.2965,0.137,0.2,2
F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,2
M,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,2
M,0.59,0.455,0.155,0.8855,0.388,0.188,0.275,2
M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347,2
F,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,2
M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,2
F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,2
F,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,2
F,0.605,0.515,0.17,1.289,0.6,0.2945,0.3315,2
F,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,2
I,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,2
I,0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,2
I,0.555,0.395,0.13,0.5585,0.222,0.1245,0.17,2
I,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,2
I,0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,2
M,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,2
M,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,2
M,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,2
M,0.645,0.5,0.175,1.3375,0.554,0.308,0.415,2
F,0.67,0.55,0.155,1.566,0.858,0.339,0.354,2
M,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,2
M,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,2
F,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,2
I,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,2
I,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,2
M,0.565,0.45,0.16,0.895,0.415,0.195,0.246,2
F,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,2
F,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,2
M,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,2
F,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,2
M,0.515,0.4,0.14,0.6335,0.288,0.145,0.168,2
F,0.6,0.45,0.14,0.837,0.37,0.177,0.2425,2
F,0.565,0.44,0.135,0.83,0.393,0.1735,0.238,2
F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,2
F,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,2
M,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,2
F,0.505,0.4,0.165,0.729,0.2675,0.155,0.25,2
F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,2
M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,2
M,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,2
M,0.34,0.255,0.095,0.213,0.081,0.034,0.07,2
M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,2
M,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,2
M,0.515,0.395,0.12,0.646,0.285,0.1365,0.172,2
F,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,2
M,0.5,0.38,0.12,0.5765,0.273,0.135,0.145,2
M,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,2
M,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,2
M,0.66,0.515,0.165,1.4465,0.694,0.298,0.3755,2
I,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,2
M,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,2
M,0.61,0.48,0.185,1.3065,0.6895,0.2915,0.29,2
M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,2
F,0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,2
F,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,2
I,0.505,0.425,0.125,0.6115,0.245,0.1375,0.2,2
F,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,2
F,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,2
M,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,2
M,0.67,0.54,0.175,1.482,0.739,0.2925,0.365,2
F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,2
M,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,2
M,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,2
M,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,2
M,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,2
F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,2
M,0.55,0.435,0.11,0.806,0.3415,0.203,0.215,2
F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,2
I,0.41,0.3,0.115,0.2595,0.097,0.0515,0.08,2
M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,2
I,0.35,0.265,0.11,0.209,0.066,0.059,0.075,2
F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,2
F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,2
M,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,2
I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,2
M,0.58,0.47,0.165,1.041,0.54,0.166,0.279,2
F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,2
M,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,2
I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,2
F,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,2
M,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,2
F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,2
M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,2
M,0.625,0.47,0.15,1.124,0.556,0.2315,0.287,2
I,0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,2
M,0.585,0.47,0.145,0.9565,0.4025,0.2365,0.265,2
F,0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,2
F,0.545,0.42,0.175,0.754,0.256,0.1775,0.275,2
F,0.525,0.43,0.165,0.717,0.289,0.1745,0.195,2
F,0.565,0.46,0.15,0.8765,0.3455,0.1925,0.275,2
F,0.555,0.44,0.155,1.016,0.4935,0.1855,0.263,2
F,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,2
I,0.54,0.415,0.155,0.702,0.322,0.167,0.19,2
F,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,2
F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,2
M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,2
I,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,2
M,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,2
F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,3
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,3
F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,3
F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,3
M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,3
M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,3
M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,3
M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,3
F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,3
F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,3
F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,3
F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,3
M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,3
F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,3
M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,3
M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,3
M,0.635,0.515,0.17,1.275,0.509,0.286,0.34,3
F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,3
F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,3
M,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,3
F,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,3
F,0.56,0.455,0.125,0.943,0.344,0.129,0.375,3
F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,3
M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,3
M,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,3
M,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,3
F,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,3
M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,3
F,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,3
I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,3
F,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,3
F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,3
M,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,3
M,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,3
F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,3
F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,3
F,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,3
M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,3
F,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,3
M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,3
M,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,3
F,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,3
M,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,3
M,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,3
M,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,3
M,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,3
M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,3
M,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,3
M,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,3
F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,3
F,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,3
F,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,3
I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,3
F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,3
F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,3
F,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,3
M,0.75,0.55,0.18,1.893,0.942,0.397,0.445,3
F,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,3
I,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,3
F,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,3
M,0.675,0.525,0.16,1.2835,0.572,0.2755,0.3545,3
M,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,3
F,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,3
I,0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,3
F,0.6,0.465,0.16,1.133,0.466,0.2885,0.298,3
F,0.625,0.52,0.18,1.354,0.4845,0.351,0.375,3
M,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,3
M,0.68,0.54,0.19,1.623,0.7165,0.354,0.4715,3
M,0.76,0.605,0.215,2.173,0.801,0.4915,0.646,3
F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,3
F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,3
M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,3
F,0.58,0.45,0.235,1.071,0.3,0.206,0.395,3
F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,3
M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,3
M,0.59,0.475,0.155,0.857,0.356,0.174,0.28,3
I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,3
M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,3
F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,3
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,3
M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,3
I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,3
M,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,3
M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,3
F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,3
I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,3
I,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,3
I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,3
I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,3
M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,3
M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,3
M,0.52,0.4,0.165,0.8565,0.2745,0.201,0.21,3
M,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,3
M,0.66,0.535,0.2,1.791,0.733,0.318,0.54,3
M,0.695,0.525,0.175,1.742,0.696,0.389,0.505,3
M,0.7,0.55,0.2,1.523,0.693,0.306,0.4405,3
M,0.6,0.495,0.185,1.1145,0.5055,0.2635,0.367,3
F,0.635,0.51,0.185,1.286,0.526,0.295,0.4105,3
M,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,3
F,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,3
F,0.65,0.565,0.2,1.6645,0.753,0.367,0.43,3
M,0.735,0.59,0.205,2.087,0.909,0.474,0.625,3
F,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,3
M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,3
M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,3
M,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,3
M,0.585,0.45,0.15,1.047,0.4315,0.276,0.315,3
M,0.605,0.47,0.115,1.114,0.3925,0.291,0.31,3
F,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,3
F,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,3
M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,3
F,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,3
F,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,3
M,0.565,0.45,0.115,0.9085,0.398,0.197,0.29,3
F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,3
M,0.565,0.44,0.155,0.868,0.348,0.217,0.26,3
M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,3
I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,3
F,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,3
F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,3
I,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,3
I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,3
M,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,3
M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,3
M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,3
F,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468,3
F,0.66,0.5,0.155,1.3765,0.6485,0.288,0.335,3
F,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,3
I,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,3
M,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,3
F,0.695,0.525,0.205,1.8185,0.819,0.4025,0.4525,3
F,0.665,0.525,0.18,1.5785,0.678,0.229,0.456,3
F,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,3
F,0.485,0.4,0.155,0.731,0.236,0.183,0.255,3
F,0.525,0.41,0.15,0.708,0.274,0.151,0.25,3
M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,3
I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,3
I,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,3
F,0.54,0.44,0.16,1.0905,0.391,0.2295,0.355,3
F,0.515,0.395,0.14,0.686,0.281,0.1255,0.22,3
