V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,1
I,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,1
F,0.4,0.305,0.16,0.368,0.173,0.0705,0.105,1
F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,1
F,0.58,0.435,0.15,0.839,0.3485,0.207,0.192,1
M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,1
M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,1
I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,1
I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,1
I,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,1
F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,1
I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,1
M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,1
I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,1
I,0.31,0.24,0.105,0.2885,0.118,0.065,0.083,1
I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,1
I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,1
I,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,1
I,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,1
F,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,1
F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,1
I,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,1
I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,1
I,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,1
F,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245,1
I,0.335,0.25,0.08,0.167,0.0675,0.0325,0.0575,1
I,0.395,0.32,0.1,0.3075,0.149,0.0535,0.09,1
I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,1
I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,1
I,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,1
I,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,1
F,0.645,0.49,0.16,1.144,0.5015,0.289,0.319,1
I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,1
M,0.505,0.365,0.115,0.521,0.25,0.096,0.15,1
F,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,1
I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,1
I,0.39,0.28,0.09,0.215,0.0845,0.034,0.079,1
I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,1
I,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,1
I,0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,1
M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,1
M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,1
I,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,1
M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,1
M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,1
I,0.395,0.31,0.095,0.313,0.131,0.072,0.093,1
I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,1
I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,1
M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,1
I,0.4,0.29,0.1,0.258,0.104,0.059,0.0815,1
F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,1
I,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,1
I,0.365,0.275,0.09,0.2345,0.108,0.051,0.0625,1
I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,1
F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,1
F,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,1
I,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,1
I,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,1
F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,1
I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,1
I,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355,1
M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153,1
F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,1
M,0.38,0.27,0.095,0.219,0.0835,0.0515,0.07,1
I,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,1
I,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,1
F,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,1
I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,1
I,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,1
I,0.545,0.405,0.13,0.658,0.327,0.1445,0.174,1
M,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.216,1
I,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,1
I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,1
F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,1
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,2
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,2
F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,2
F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,2
M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,2
F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,2
F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,2
M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,2
F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,2
F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,2
F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,2
F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,2
I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,2
I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,2
M,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,2
M,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,2
M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,2
M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,2
F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,2
F,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,2
F,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,2
F,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,2
M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,2
M,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,2
M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,2
I,0.535,0.39,0.125,0.599,0.2595,0.149,0.169,2
M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,2
M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,2
F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,2
I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,2
F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,2
I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,2
I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,2
M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,2
I,0.56,0.455,0.145,0.974,0.547,0.1615,0.235,2
M,0.58,0.455,0.135,0.7955,0.405,0.167,0.204,2
F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,2
M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,2
M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,2
M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,2
M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,2
M,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,2
M,0.62,0.485,0.155,1.049,0.462,0.231,0.25,2
F,0.65,0.545,0.175,1.5245,0.59,0.326,0.495,2
I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,2
I,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,2
I,0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,2
I,0.575,0.425,0.135,0.7965,0.364,0.196,0.239,2
F,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,2
F,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,2
M,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,2
F,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,2
F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,2
F,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,2
M,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,2
M,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,2
M,0.655,0.545,0.19,1.4245,0.6325,0.333,0.378,2
I,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,2
F,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,2
I,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,2
M,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,2
M,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,2
F,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,2
M,0.68,0.54,0.155,1.534,0.671,0.379,0.384,2
M,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,2
M,0.61,0.49,0.16,1.112,0.465,0.228,0.341,2
M,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,2
I,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,2
M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,2
F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,2
F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,2
I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,2
I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,2
M,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,2
I,0.335,0.24,0.095,0.17,0.062,0.039,0.055,2
F,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,2
F,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,2
M,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,2
M,0.625,0.48,0.17,1.3555,0.671,0.268,0.3385,2
I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,2
M,0.595,0.46,0.14,0.852,0.4215,0.2255,0.227,2
M,0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,2
F,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,2
M,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,2
F,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,2
F,0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,2
M,0.65,0.52,0.155,1.368,0.6185,0.288,0.365,2
F,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,2
M,0.625,0.475,0.175,1.3405,0.656,0.283,0.337,2
I,0.51,0.4,0.145,0.5775,0.231,0.143,0.177,2
I,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,2
M,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,2
F,0.63,0.48,0.165,1.2615,0.5505,0.277,0.3885,2
M,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,2
F,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,2
I,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,2
M,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,2
M,0.685,0.51,0.165,1.545,0.686,0.3775,0.4055,2
F,0.525,0.4,0.135,0.714,0.318,0.138,0.208,2
M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,2
F,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,2
M,0.425,0.34,0.12,0.388,0.149,0.087,0.125,2
F,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,2
M,0.41,0.3,0.1,0.301,0.124,0.069,0.09,2
M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,2
M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,2
F,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,2
F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,2
I,0.55,0.425,0.155,0.8725,0.412,0.187,0.2425,2
F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,2
M,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,2
F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,2
I,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,2
I,0.55,0.415,0.15,0.7915,0.3535,0.176,0.236,2
F,0.6,0.5,0.16,1.122,0.5095,0.256,0.309,2
F,0.66,0.53,0.17,1.431,0.622,0.309,0.398,2
I,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,2
F,0.635,0.505,0.17,1.2635,0.512,0.322,0.355,2
F,0.555,0.44,0.14,0.846,0.346,0.1715,0.2735,2
I,0.59,0.45,0.125,0.86,0.437,0.1515,0.245,2
M,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,2
M,0.41,0.325,0.1,0.3555,0.146,0.072,0.105,2
F,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,2
I,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,2
F,0.61,0.5,0.18,1.438,0.5185,0.3735,0.3345,2
M,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,2
I,0.575,0.45,0.15,0.858,0.449,0.166,0.215,2
F,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,2
I,0.595,0.475,0.155,0.984,0.4865,0.184,0.2755,2
F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,2
M,0.58,0.45,0.14,0.824,0.3465,0.1765,0.263,2
M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,2
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,3
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,3
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,3
M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,3
F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,3
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,3
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,3
M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,3
M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,3
F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,3
F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,3
M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,3
M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,3
M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,3
F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,3
F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,3
M,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,3
M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,3
M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,3
F,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,3
M,0.63,0.515,0.165,1.352,0.488,0.349,0.45,3
F,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,3
M,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,3
F,0.64,0.54,0.175,1.221,0.51,0.259,0.39,3
M,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,3
F,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,3
F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,3
M,0.56,0.435,0.18,0.889,0.36,0.204,0.25,3
F,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,3
F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,3
I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,3
I,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,3
I,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,3
F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,3
I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,3
I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,3
M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,3
M,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,3
M,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,3
F,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,3
F,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,3
M,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,3
F,0.61,0.47,0.145,1.153,0.403,0.296,0.32,3
F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,3
M,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,3
M,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,3
F,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,3
M,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,3
F,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,3
F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,3
F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,3
M,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,3
M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,3
M,0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,3
F,0.735,0.565,0.205,2.1275,0.949,0.46,0.565,3
M,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,3
I,0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,3
M,0.62,0.515,0.175,1.221,0.535,0.241,0.395,3
M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,3
M,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,3
F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,3
F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,3
M,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,3
F,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,3
F,0.61,0.47,0.165,1.1785,0.566,0.2785,0.294,3
F,0.625,0.47,0.145,0.984,0.475,0.2,0.265,3
F,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,3
M,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,3
M,0.505,0.395,0.135,0.5915,0.288,0.1315,0.185,3
M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,3
M,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,3
M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,3
F,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,3
I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,3
M,0.565,0.47,0.195,1.142,0.387,0.258,0.35,3
F,0.505,0.39,0.175,0.692,0.267,0.15,0.215,3
F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,3
F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,3
M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,3
F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,3
M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,3
M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,3
F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,3
M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,3
M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,3
F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,3
I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,3
F,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,3
F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,3
F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,3
M,0.565,0.44,0.175,1.122,0.393,0.2,0.375,3
F,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,3
M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,3
F,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,3
F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,3
F,0.725,0.53,0.19,1.7315,0.83,0.398,0.405,3
F,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,3
F,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,3
F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,3
F,0.635,0.485,0.19,1.3765,0.634,0.2885,0.406,3
F,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,3
M,0.745,0.575,0.2,1.884,0.954,0.336,0.495,3
I,0.52,0.41,0.14,0.6625,0.2775,0.1555,0.196,3
I,0.62,0.475,0.16,0.907,0.371,0.167,0.3075,3
F,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,3
M,0.595,0.455,0.145,0.942,0.43,0.182,0.277,3
F,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,3
F,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,3
M,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,3
I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,3
M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,3
M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,3
M,0.55,0.435,0.16,0.906,0.342,0.219,0.295,3
F,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,3
M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,3
F,0.665,0.57,0.185,1.522,0.6965,0.3025,0.405,3
F,0.605,0.485,0.165,1.0735,0.437,0.205,0.33,3
F,0.62,0.485,0.165,1.166,0.483,0.238,0.355,3
F,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,3
I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,3
M,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.104,3
I,0.61,0.48,0.165,1.097,0.4215,0.264,0.335,3
M,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,3
M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,3
M,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,3
I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,3
M,0.66,0.515,0.2,1.6465,0.749,0.422,0.401,3
I,0.53,0.395,0.125,0.6235,0.2975,0.108,0.195,3
M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,3
F,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,3
F,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,3
M,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,3
M,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,3
M,0.655,0.515,0.2,1.373,0.443,0.3375,0.49,3
M,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,3
F,0.595,0.5,0.18,1.053,0.4405,0.192,0.39,3
I,0.54,0.4,0.145,0.757,0.315,0.181,0.215,3
F,0.65,0.515,0.215,1.498,0.564,0.323,0.425,3
F,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,3
F,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,3
